Pretty Formula,M,X
LiH,H1-,Li1+
BeH,H1-,Be1+
BH,H1-,B1+
HC,H1+,C1-
HN,H1+,N1-
H2O2,H1+,O1-
HF,H1+,F1-
NaH,H1-,Na1+
MgH,H1-,Mg1+
AlH,H1-,Al1+
SiH,H1-,Si1+
PH,H1-,P1+
HS,H1+,S1-
HCl,H1+,Cl1-
KH,H1-,K1+
CaH,H1-,Ca1+
ScH,H1-,Sc1+
TiH,H1-,Ti1+
VH,H1-,V1+
CrH,H1-,Cr1+
MnH,H1-,Mn1+
FeH,H1-,Fe1+
CoH,H1-,Co1+
NiH,H1-,Ni1+
CuH,H1-,Cu1+
ZnH,H1-,Zn1+
GaH,H1-,Ga1+
GeH,H1-,Ge1+
AsH,H1-,As1+
HBr,H1+,Br1-
RbH,H1-,Rb1+
SrH,H1-,Sr1+
YH,H1-,Y1+
ZrH,H1-,Zr1+
NbH,H1-,Nb1+
MoH,H1-,Mo1+
HRh,H1+,Rh1-
AgH,H1-,Ag1+
CdH,H1-,Cd1+
InH,H1-,In1+
HI,H1+,I1-
CsH,H1-,Cs1+
GdH,H1-,Gd1+
TbH,H1-,Tb1+
HW,H1-,W1+
ReH,H1-,Re1+
HAu,H1+,Au1-
HgH,H1-,Hg1+
TlH,H1-,Tl1+
BiH,H1-,Bi1+
LiH,Li1+,H1-
LiC,Li1+,C1-
LiN,Li1+,N1-
Li2O2,Li1+,O1-
LiF,Li1+,F1-
LiSi,Li1+,Si1-
LiP,Li1+,P1-
LiS,Li1+,S1-
LiCl,Li1+,Cl1-
LiTi,Li1+,Ti1-
LiV,Li1+,V1-
LiCr,Li1+,Cr1-
LiMn,Li1+,Mn1-
LiFe,Li1+,Fe1-
LiCo,Li1+,Co1-
LiNi,Li1+,Ni1-
LiGe,Li1+,Ge1-
LiBr,Li1+,Br1-
LiNb,Li1+,Nb1-
LiMo,Li1+,Mo1-
LiRh,Li1+,Rh1-
LiI,Li1+,I1-
LiTa,Li1+,Ta1-
LiW,Li1+,W1-
LiRe,Li1+,Re1-
LiOs,Li1+,Os1-
