,task_id,pretty_formula,spacegroup.symbol,spacegroup.crystal_system,e_above_hull,structure.lattice.volume,density,band_gap,final_energy,cat_oxi_state,an_oxi_state,coordination,coordination_num,coordination_env
0,mp-23231,AgBr,Fm-3m,cubic,0.03729415000000014,50.0922035521385,6.224582901346875,0.7946,-5.12952725,1.0,-1.0,"[6, 'octahedral']",6.0,octahedral
1,mp-570301,AgBr,P2_1/m,monoclinic,0.04155465500000011,99.85425283174813,6.2451636235626085,0.7603,-10.24201248,1.0,-1.0,"[6, 'octahedral']",6.0,octahedral
2,mp-1008653,AgC,Fm-3m,cubic,2.235510398333333,25.425236687373022,7.829370446328863,0.0,-7.58827808,2.0,-2.0,"[6, 'octahedral']",6.0,octahedral
3,mp-1008912,AgC,F-43m,cubic,2.2577210683333333,30.270417600511994,6.576176098332642,0.0,-7.54385674,2.0,-2.0,"[4, 'tetrahedral']",4.0,tetrahedral
4,mp-22922,AgCl,Fm-3m,cubic,0.0,44.4328633677782,5.356180845292489,1.2003,-5.53483498,1.0,-1.0,"[6, 'octahedral']",6.0,octahedral
5,mp-570687,AgCl,P2_1/m,monoclinic,0.011295567499999937,87.59563002765415,5.433843026115748,0.9324000000000001,-11.02448769,1.0,-1.0,"[6, 'octahedral']",6.0,octahedral
6,mp-570858,AgCl,Cmcm,orthorhombic,0.036032722500000336,85.98636572337942,5.5355392606686955,0.5508000000000002,-10.92553907,1.0,-1.0,"[5, 'square pyramidal']",5.0,square pyramidal
7,mp-7592,AgF,Fm-3m,cubic,0.0,31.802524744424137,6.624220955833901,0.0,-6.75011769,1.0,-1.0,"[6, 'octahedral']",6.0,octahedral
8,mp-22925,AgI,F-43m,cubic,0.0,73.21955895634991,5.324385940884999,1.7236,-4.91777993,1.0,-1.0,"[4, 'tetrahedral']",4.0,tetrahedral
9,mp-22894,AgI,P6_3mc,hexagonal,0.0007171325000001616,146.31152163320257,5.3290292651364375,1.3955,-9.83269133,1.0,-1.0,"[4, 'tetrahedral']",4.0,tetrahedral
10,mp-567809,AgI,P4/nmm,tetragonal,0.024616002500000178,140.5363420731169,5.5480196019640635,2.2061,-9.73709585,1.0,-1.0,"[4, 'tetrahedral']",4.0,tetrahedral
11,mp-580941,AgI,P6_3mc,hexagonal,0.04692876749999986,294.9544272171785,5.286907458662272,1.3759000000000001,-19.29568958,1.0,-1.0,"[4, 'trigonal pyramidal']",4.0,trigonal pyramidal
12,mp-22919,AgI,Fm-3m,cubic,0.09217770000000014,58.69273120224999,6.6422056414720885,1.0059000000000005,-4.73342453,1.0,-1.0,"[6, 'octahedral']",6.0,octahedral
13,mp-568927,AgI,P2_1/m,monoclinic,0.10344356500000007,116.55232633695874,6.689685269394208,1.4011999999999998,-9.4217856,1.0,-1.0,"[6, 'octahedral']",6.0,octahedral
14,mp-22915,AgI,Pm-3m,cubic,0.38989319999999994,57.289251375,6.804927293483764,0.4700000000000002,-4.13799353,1.0,-1.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
15,mp-1056955,AgN,Fm-3m,cubic,1.4081794221433332,24.59136120734822,8.229639302256075,0.0,-7.9686424,3.0,-3.0,"[6, 'octahedral']",6.0,octahedral
16,mp-999197,AgN,P6_3/mmc,hexagonal,1.4177235671433333,49.85319014065959,8.118960175545979,0.0,-15.89910822,3.0,-3.0,"[6, 'octahedral']",6.0,octahedral
17,mp-1091417,AgN,Cmce,orthorhombic,1.5086049221433333,119.76895379583502,6.758948000262353,0.0,-31.0711656,3.0,-3.0,"[4, 'square co-planar']",4.0,square co-planar
18,mp-1009767,AgN,P-6m2,hexagonal,1.5329295771433333,25.320567788066068,7.9926340665769695,0.0,-7.71914209,3.0,-3.0,"[6, 'pentagonal pyramidal']",6.0,pentagonal pyramidal
19,mp-1009766,AgN,F-43m,cubic,1.5379648071433332,30.316073777279907,6.67560166843368,0.0,-7.70907163,3.0,-3.0,"[4, 'tetrahedral']",4.0,tetrahedral
20,mp-499,AgO,Cccm,orthorhombic,0.0,60.92197340196275,6.75247295516384,0.0,-15.96752561,2.0,-2.0,"[4, 'square co-planar']",4.0,square co-planar
21,mp-1065190,AgO,C2/c,monoclinic,0.0028721049999997916,60.35404752006141,6.8160130873612985,0.0,-15.95603719,2.0,-2.0,"[4, 'square co-planar']",4.0,square co-planar
22,mp-1066856,AgO,C2/c,monoclinic,0.006079559999999873,60.46173247887936,6.803873473451433,0.0,-15.94320737,2.0,-2.0,"[4, 'square co-planar']",4.0,square co-planar
23,mp-1079720,AgO,P2_1/c,monoclinic,0.039711927499999966,114.25918694986818,7.2007159993612895,0.026100000000000012,-31.6173558,2.0,-2.0,"[3, 'linear']",3.0,linear
24,mp-1288,AgO,I4_1/a,tetragonal,0.04454070562499979,227.26735308000775,7.240353217422181,0.15260000000000007,-63.15745115,2.0,-2.0,"[3, 'linear']",3.0,linear
25,mp-8222,AgO,F-43m,cubic,0.30653393749999935,32.52392918150042,6.3241740485333695,0.0,-7.37069493,2.0,-2.0,"[4, 'tetrahedral']",4.0,tetrahedral
26,mp-379,AgSe,F-43m,cubic,0.1381535594140626,53.38705785983609,5.811062404994471,0.0,-6.15294326,2.0,-2.0,"[4, 'tetrahedral']",4.0,tetrahedral
