,task_id,pretty_formula,spacegroup.symbol,spacegroup.crystal_system,e_above_hull,structure,density,band_gap,final_energy,cat_oxi_state,an_oxi_state,coordination_num
0,mp-23231,AgBr,Fm-3m,cubic,0.03729415000000014,"Full Formula (Ag1 Br1)
Reduced Formula: AgBr
abc   :   4.137726   4.137726   4.137726
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ag    0    0    0           0
  1  Br    0.5  0.5  0.5         0",6.224582901346875,0.7946,-5.12952725,1.0,-1.0,6
1,mp-570301,AgBr,P2_1/m,monoclinic,0.04155465500000011,"Full Formula (Ag2 Br2)
Reduced Formula: AgBr
abc   :   4.154709   4.112159   5.845791
angles:  88.851585  90.000000  90.000000
Sites (4)
  #  SP       a         b         c    magmom
---  ----  ----  --------  --------  --------
  0  Ag    0.75  0.791475  0.239883         0
  1  Ag    0.25  0.208525  0.760117         0
  2  Br    0.25  0.276868  0.255405         0
  3  Br    0.75  0.723132  0.744595         0",6.2451636235626085,0.7603,-10.24201248,1.0,-1.0,6
2,mp-1008653,AgC,Fm-3m,cubic,2.235510398333333,"Full Formula (Ag1 C1)
Reduced Formula: AgC
abc   :   3.300603   3.300603   3.300603
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ag    0    0    0           0
  1  C     0.5  0.5  0.5         0",7.829370446328863,0.0,-7.58827808,2.0,-2.0,6
3,mp-1008912,AgC,F-43m,cubic,2.2577210683333333,"Full Formula (Ag1 C1)
Reduced Formula: AgC
abc   :   3.498199   3.498199   3.498199
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Ag    0     0     0            0
  1  C     0.25  0.25  0.25         0",6.576176098332642,0.0,-7.54385674,2.0,-2.0,4
4,mp-22922,AgCl,Fm-3m,cubic,0.0,"Full Formula (Ag1 Cl1)
Reduced Formula: AgCl
abc   :   3.975634   3.975634   3.975634
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ag    0    0    0          -0
  1  Cl    0.5  0.5  0.5        -0",5.356180845292489,1.2003,-5.53483498,1.0,-1.0,6
5,mp-570687,AgCl,P2_1/m,monoclinic,0.011295567499999937,"Full Formula (Ag2 Cl2)
Reduced Formula: AgCl
abc   :   4.003047   3.926879   5.599419
angles:  84.371751  90.000000  90.000000
Sites (4)
  #  SP       a         b         c    magmom
---  ----  ----  --------  --------  --------
  0  Ag    0.25  0.184019  0.781919        -0
  1  Ag    0.75  0.815981  0.218081        -0
  2  Cl    0.75  0.707658  0.737436        -0
  3  Cl    0.25  0.292342  0.262564        -0",5.433843026115748,0.9324000000000001,-11.02448769,1.0,-1.0,6
6,mp-570858,AgCl,Cmcm,orthorhombic,0.036032722500000336,"Full Formula (Ag2 Cl2)
Reduced Formula: AgCl
abc   :   6.074321   6.074321   3.944345
angles:  90.000000  90.000000 143.784384
Sites (4)
  #  SP           a         b     c    magmom
---  ----  --------  --------  ----  --------
  0  Ag    0.393352  0.606648  0.75        -0
  1  Ag    0.606648  0.393352  0.25        -0
  2  Cl    0.868253  0.131747  0.25        -0
  3  Cl    0.131747  0.868253  0.75        -0",5.5355392606686955,0.5508000000000002,-10.92553907,1.0,-1.0,5
7,mp-7592,AgF,Fm-3m,cubic,0.0,"Full Formula (Ag1 F1)
Reduced Formula: AgF
abc   :   3.556249   3.556249   3.556249
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ag    0    0    0       0
  1  F     0.5  0.5  0.5    -0.001",6.624220955833901,0.0,-6.75011769,1.0,-1.0,6
8,mp-22925,AgI,F-43m,cubic,0.0,"Full Formula (Ag1 I1)
Reduced Formula: AgI
abc   :   4.695848   4.695848   4.695848
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Ag    0     0     0           -0
  1  I     0.75  0.75  0.75        -0",5.324385940884999,1.7236,-4.91777993,1.0,-1.0,4
9,mp-22894,AgI,P6_3mc,hexagonal,0.0007171325000001616,"Full Formula (Ag2 I2)
Reduced Formula: AgI
abc   :   4.710585   4.710585   7.613745
angles:  90.000000  90.000000 120.000007
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.333333  0.666667  0.000219        -0
  1  Ag    0.666667  0.333333  0.500219        -0
  2  I     0.333333  0.666667  0.379681        -0
  3  I     0.666667  0.333333  0.879681        -0",5.3290292651364375,1.3955,-9.83269133,1.0,-1.0,4
10,mp-567809,AgI,P4/nmm,tetragonal,0.024616002500000178,"Full Formula (Ag2 I2)
Reduced Formula: AgI
abc   :   4.589103   4.589103   6.673183
angles:  90.000000  90.000000  90.000000
Sites (4)
  #  SP      a    b         c    magmom
---  ----  ---  ---  --------  --------
  0  Ag    0    0    0                0
  1  Ag    0.5  0.5  0                0
  2  I     0    0.5  0.728459         0
  3  I     0.5  0    0.271541         0",5.5480196019640635,2.2061,-9.73709585,1.0,-1.0,4
11,mp-580941,AgI,P6_3mc,hexagonal,0.04692876749999986,"Full Formula (Ag4 I4)
Reduced Formula: AgI
abc   :   4.848634   4.848634  14.487235
angles:  90.000000  90.000000 119.999997
Sites (8)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0         0         0.268453        -0
  1  Ag    0.666667  0.333333  0.470335        -0
  2  Ag    0.333333  0.666667  0.970335        -0
  3  Ag    0         0         0.768453        -0
  4  I     0         0         0.006254         0
  5  I     0.666667  0.333333  0.254958         0
  6  I     0.333333  0.666667  0.754958         0
  7  I     0         0         0.506254         0",5.286907458662272,1.3759000000000001,-19.29568958,1.0,-1.0,4
12,mp-22919,AgI,Fm-3m,cubic,0.09217770000000014,"Full Formula (Ag1 I1)
Reduced Formula: AgI
abc   :   4.362142   4.362142   4.362142
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ag    0    0    0          -0
  1  I     0.5  0.5  0.5         0",6.6422056414720885,1.0059000000000005,-4.73342453,1.0,-1.0,6
13,mp-568927,AgI,P2_1/m,monoclinic,0.10344356500000007,"Full Formula (Ag2 I2)
Reduced Formula: AgI
abc   :   4.396367   4.349774   6.097108
angles:  88.427396  90.000000  90.000000
Sites (4)
  #  SP       a         b         c    magmom
---  ----  ----  --------  --------  --------
  0  Ag    0.25  0.181137  0.776744        -0
  1  Ag    0.75  0.818863  0.223256        -0
  2  I     0.75  0.718453  0.74135          0
  3  I     0.25  0.281547  0.25865          0",6.689685269394208,1.4011999999999998,-9.4217856,1.0,-1.0,6
14,mp-22915,AgI,Pm-3m,cubic,0.38989319999999994,"Full Formula (Ag1 I1)
Reduced Formula: AgI
abc   :   3.855000   3.855000   3.855000
angles:  90.000000  90.000000  90.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ag    0    0    0          -0
  1  I     0.5  0.5  0.5        -0",6.804927293483764,0.4700000000000002,-4.13799353,1.0,-1.0,8
15,mp-1056955,AgN,Fm-3m,cubic,1.4081794221433332,"Full Formula (Ag1 N1)
Reduced Formula: AgN
abc   :   3.264118   3.264118   3.264118
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ag    0    0    0       0
  1  N     0.5  0.5  0.5     0.001",8.229639302256075,0.0,-7.9686424,3.0,-3.0,6
16,mp-999197,AgN,P6_3/mmc,hexagonal,1.4177235671433333,"Full Formula (Ag2 N2)
Reduced Formula: AgN
abc   :   3.199309   3.199309   5.624058
angles:  90.000000  90.000000 119.999987
Sites (4)
  #  SP           a         b     c    magmom
---  ----  --------  --------  ----  --------
  0  Ag    0         0         0.5          0
  1  Ag    0         0         0            0
  2  N     0.333333  0.666667  0.25        -0
  3  N     0.666667  0.333333  0.75        -0",8.118960175545979,0.0,-15.89910822,3.0,-3.0,6
17,mp-1091417,AgN,Cmce,orthorhombic,1.5086049221433333,"Full Formula (Ag4 N4)
Reduced Formula: AgN
abc   :   4.097377   4.097377   7.138863
angles:  90.000000  90.000000  92.117563
Sites (8)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.336578  0.663422  0.341579         0
  1  Ag    0.663422  0.336578  0.658421         0
  2  Ag    0.163422  0.836578  0.841579        -0
  3  Ag    0.836578  0.163422  0.158421        -0
  4  N     0.839248  0.660752  0.25             0
  5  N     0.660752  0.839248  0.75             0
  6  N     0.160752  0.339248  0.75             0
  7  N     0.339248  0.160752  0.25             0",6.758948000262353,0.0,-31.0711656,3.0,-3.0,4
18,mp-1009767,AgN,P-6m2,hexagonal,1.5329295771433333,"Full Formula (Ag1 N1)
Reduced Formula: AgN
abc   :   3.153790   3.153790   2.939526
angles:  90.000000  90.000000 119.999995
Sites (2)
  #  SP           a         b    c    magmom
---  ----  --------  --------  ---  --------
  0  Ag    0.666667  0.333333  0          -0
  1  N     0         0         0.5         0",7.9926340665769695,0.0,-7.71914209,3.0,-3.0,6
19,mp-1009766,AgN,F-43m,cubic,1.5379648071433332,"Full Formula (Ag1 N1)
Reduced Formula: AgN
abc   :   3.499957   3.499957   3.499957
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Ag    0     0     0       -0.001
  1  N     0.25  0.25  0.25    -0.002",6.67560166843368,0.0,-7.70907163,3.0,-3.0,4
