,Unnamed: 0,task_id,pretty_formula,spacegroup.symbol,spacegroup.crystal_system,e_above_hull,structure.lattice.volume,density,band_gap,final_energy,cat_oxi_state,an_oxi_state,coordination_num,coordination_env,RR,RR_Prediction
0,0,mp-23231,AgBr,Fm-3m,cubic,0.0372941500000001,50.0922035521385,6.224582901346875,0.7946,-5.12952725,1.0,-1.0,6,O,0.5415451895043731,Correct
1,4,mp-22922,AgCl,Fm-3m,cubic,0.0,44.4328633677782,5.356180845292489,1.2003,-5.53483498,1.0,-1.0,6,O,0.5864246250986582,Correct
2,7,mp-7592,AgF,Fm-3m,cubic,0.0,31.802524744424137,6.624220955833901,0.0,-6.75011769,1.0,-1.0,6,O,0.8125768967874232,Incorrect
3,8,mp-22925,AgI,F-43m,cubic,0.0,73.21955895634991,5.324385940884999,1.7236,-4.91777993,1.0,-1.0,4,T,0.48246753246753243,Correct
4,15,mp-1056955,AgN,Fm-3m,cubic,1.4081794221433332,24.59136120734822,8.229639302256075,0.0,-7.9686424,3.0,-3.0,6,O,0.4863013698630137,Correct
5,20,mp-499,AgO,Cccm,orthorhombic,0.0,60.92197340196275,6.75247295516384,0.0,-15.96752561,2.0,-2.0,4,S,0.625904486251809,Correct
6,26,mp-379,AgSe,F-43m,cubic,0.1381535594140626,53.38705785983609,5.811062404994471,0.0,-6.15294326,2.0,-2.0,4,T,0.43686868686868685,Correct
7,38,mp-661,AlN,P6_3mc,hexagonal,0.0,42.52728307818043,3.200889713142437,4.0536,-29.7797004,3.0,-3.0,4,T,0.3207762557077626,Correct
8,67,mp-505366,AuBr,P4_2/ncm,tetragonal,0.0,255.07711036667845,7.209653513094369,2.058,-20.73075766,1.0,-1.0,6,O,0.6989795918367347,Correct
9,70,mp-32780,AuCl,I4_1/amd,tetragonal,0.0,228.5102565558944,6.755789083321634,2.0772,-22.21067401,1.0,-1.0,2,L,0.7569060773480664,Incorrect
10,71,mp-27725,AuI,P4_2/ncm,tetragonal,0.0,318.3275156112542,6.757826281741869,2.0942,-19.80217873,1.0,-1.0,6,O,0.6227272727272727,Correct
11,72,mp-1008610,AuN,Fm-3m,cubic,1.4987504938100005,25.458750397514383,13.760665771601042,0.0,-8.22885274,3.0,-3.0,6,O,0.523972602739726,Correct
12,83,mp-984,BN,P6_3/mmc,hexagonal,0.0,42.13260173230655,1.956240948754851,4.4938,-35.15512185,3.0,-3.0,3,TL,0.08904109589041097,Incorrect
13,115,mp-1342,BaO,Fm-3m,cubic,0.0,44.25500294484119,5.753123041444008,2.2561,-11.82719219,2.0,-2.0,6,O,1.0667769278478396,Nonphysical
14,122,mp-1500,BaS,Fm-3m,cubic,0.0,67.30962359628131,4.17892744812567,2.2091000000000003,-10.21246972,2.0,-2.0,6,O,0.8012422360248448,Incorrect
15,123,mp-1253,BaSe,Fm-3m,cubic,0.0,74.74111078246291,4.805294025439946,2.2121000000000004,-9.51004985,2.0,-2.0,6,O,0.7445887445887447,Incorrect
16,128,mp-1000,BaTe,Fm-3m,cubic,0.0,89.09108390126052,4.937886195039478,1.8555,-8.64694618,2.0,-2.0,6,O,0.6670976082740789,Correct
17,135,mp-2542,BeO,P6_3mc,hexagonal,0.0,27.991727944331423,2.9674987632823218,7.463099999999999,-28.41216655,2.0,-2.0,4,T,0.2122527737578389,Incorrect
18,141,mp-422,BeS,F-43m,cubic,0.0,28.95580068612236,2.355668427070277,3.2356,-9.98926115,2.0,-2.0,4,T,0.15942028985507248,Incorrect
19,142,mp-1541,BeSe,F-43m,cubic,0.0,34.82368030586535,4.194882439247549,2.8976,-8.8217452,2.0,-2.0,4,T,0.14814814814814817,Incorrect
20,145,mp-252,BeTe,F-43m,cubic,0.0,45.50551345066509,4.985107253660792,2.2113000000000005,-7.60077904,2.0,-2.0,4,T,0.1327300150829563,Incorrect
21,190,mp-2605,CaO,Fm-3m,cubic,0.0,28.332082162785422,3.2866879644895124,3.6919,-12.87793307,2.0,-2.0,6,O,0.8357452966714906,Incorrect
22,196,mp-1672,CaS,Fm-3m,cubic,0.0,46.69510674901466,2.5654994328554923,2.5596,-10.4388825,2.0,-2.0,6,O,0.6277173913043478,Correct
23,197,mp-1415,CaSe,Fm-3m,cubic,0.0,53.05137572029519,3.725958973280908,2.1362,-9.54614691,2.0,-2.0,6,O,0.5833333333333334,Correct
24,202,mp-1519,CaTe,Fm-3m,cubic,0.0,65.4508810377982,4.254119504496153,1.6041,-8.44555227,2.0,-2.0,6,O,0.5226244343891403,Correct
25,222,mp-1132,CdO,Fm-3m,cubic,0.0,27.36729140131324,7.791435499806187,0.0,-7.91327389,2.0,-2.0,6,O,0.7284129281234926,Incorrect
26,226,mp-672,CdS,P6_3mc,hexagonal,0.0,104.86287534018372,4.575652563556364,1.1162,-12.64802758,2.0,-2.0,4,T,0.5471014492753624,Correct
27,230,mp-2691,CdSe,F-43m,cubic,0.0,59.952770657212426,5.300489339037397,0.5095,-5.658016,2.0,-2.0,4,T,0.5084175084175085,Correct
28,233,mp-406,CdTe,F-43m,cubic,0.0,72.82718102978095,5.472512271905128,1.2285,-4.97693231,2.0,-2.0,4,T,0.4555052790346909,Correct
29,257,mp-2493,CeN,Fm-3m,cubic,0.0,32.22254306393652,7.942475672762934,0.0,-17.26652393,3.0,-3.0,6,O,0.8001141552511415,Incorrect
