,atom,oxistate,cn,averageionicradius,averageshannonradius,ionicradius,shannonradius
0,Ag,0.0,0,,,,
1,Ag,1.0,4,1.0614285714285714,1.2014285714285715,1.02,1.16
2,Ag,1.0,5,1.0614285714285714,1.2014285714285715,1.09,1.23
3,Ag,1.0,6,1.0614285714285714,1.2014285714285715,1.15,1.29
4,Ag,1.0,8,1.0614285714285714,1.2014285714285715,1.28,1.42
5,Ag,2.0,2,0.865,1.0050000000000001,,
6,Al,0.0,4,,,,
7,Al,3.0,4,0.4683333333333333,0.6083333333333333,0.39,0.53
8,Al,3.0,5,0.4683333333333333,0.6083333333333333,0.48,0.62
9,Al,3.0,6,0.4683333333333333,0.6083333333333333,0.535,0.675
10,As,-3.0,4,,,,
11,As,0.0,4,,,,
12,As,1.0,5,,,,
13,As,1.0,6,,,,
14,As,2.0,2,,,,
15,As,2.0,3,,,,
16,As,2.0,4,,,,
17,As,2.0,5,,,,
18,As,2.0,6,,,,
19,As,3.0,4,0.58,0.72,,
20,As,3.0,6,0.58,0.72,0.58,0.72
21,Au,1.0,2,1.37,1.51,,
22,Au,1.0,8,1.37,1.51,,
23,Au,2.0,4,,,,
24,B,-3.0,1,,,,
25,B,-3.0,4,,,,
26,B,0.0,1,,,,
27,B,0.0,4,,,,
28,B,0.0,6,,,,
29,B,3.0,2,0.13,0.27,,
30,B,3.0,3,0.13,0.27,0.01,0.15
31,B,3.0,4,0.13,0.27,0.11,0.25
32,Ba,2.0,4,1.4742857142857144,1.6142857142857143,,
33,Ba,2.0,6,1.4742857142857144,1.6142857142857143,1.35,1.49
34,Ba,2.0,8,1.4742857142857144,1.6142857142857143,1.42,1.56
35,Be,2.0,4,0.2933333333333334,0.4333333333333333,0.27,0.41
36,Be,2.0,6,0.2933333333333334,0.4333333333333333,0.45,0.59
37,Bi,-3.0,4,,,,
38,Bi,0.0,4,,,,
39,Bi,0.0,6,,,,
40,Bi,1.0,3,,,,
41,Bi,1.0,5,,,,
42,Bi,2.0,6,,,,
43,Br,-1.0,2,1.96,1.82,,
44,Br,-1.0,3,1.96,1.82,,
45,Br,-1.0,6,1.96,1.82,1.96,1.82
46,Br,0.0,2,,,,
47,Br,0.0,3,,,,
48,Br,1.0,0,,,,
49,Br,1.0,1,,,,
50,Br,1.0,2,,,,
51,Br,1.0,3,,,,
52,Br,1.0,4,,,,
53,Br,1.0,5,,,,
54,Br,1.0,6,,,,
55,Br,1.0,8,,,,
56,C,-2.0,4,,,,
57,C,0.0,1,,,,
58,C,0.0,2,,,,
59,C,0.0,5,,,,
60,C,0.0,6,,,,
61,C,2.0,1,,,,
62,C,3.0,2,,,,
63,C,3.0,3,,,,
64,C,4.0,4,0.07666666666666666,0.21666666666666665,0.15,0.29
65,Ca,-2.0,5,,,,
66,Ca,2.0,4,1.155,1.295,,
67,Ca,2.0,5,1.155,1.295,,
68,Ca,2.0,6,1.155,1.295,1.0,1.14
69,Cd,-2.0,4,,,,
70,Cd,2.0,4,1.0066666666666668,1.1466666666666667,0.78,0.92
71,Cd,2.0,6,1.0066666666666668,1.1466666666666667,0.95,1.09
72,Cl,-1.0,2,1.81,1.67,,
73,Cl,-1.0,5,1.81,1.67,,
74,Cl,-1.0,6,1.81,1.67,1.81,1.67
75,Cl,0.0,1,,,,
76,Cl,0.0,2,,,,
77,Cl,0.0,3,,,,
78,Cl,1.0,0,,,,
79,Cl,1.0,1,,,,
80,Cl,1.0,2,,,,
81,Cl,1.0,4,,,,
82,Cl,1.0,6,,,,
83,Cl,1.0,8,,,,
84,Co,2.0,4,0.7125,0.8525,0.58,0.72
85,Cs,-1.0,6,,,,
86,Cs,-1.0,8,,,,
87,Cs,0.0,5,,,,
88,Cs,0.0,6,,,,
89,Cs,0.0,8,,,,
90,Cs,1.0,4,1.7883333333333333,1.928333333333333,,
91,Cs,1.0,6,1.7883333333333333,1.928333333333333,1.67,1.81
92,Cs,1.0,8,1.7883333333333333,1.928333333333333,1.74,1.88
93,Cu,-1.0,3,,,,
94,Cu,-1.0,4,,,,
95,Cu,-1.0,6,,,,
96,Cu,1.0,4,0.61,0.75,0.6,0.74
97,Cu,1.0,5,0.61,0.75,,
98,Dy,3.0,6,0.998,1.138,0.912,1.052
99,Er,3.0,6,0.97525,1.11525,0.89,1.03
100,Eu,0.0,0,,,,
101,Eu,2.0,8,1.254,1.3940000000000001,1.25,1.39
102,F,-1.0,6,1.30625,1.1662499999999998,1.33,1.19
103,F,-1.0,8,1.30625,1.1662499999999998,,
104,F,0.0,1,,,,
105,F,1.0,1,,,,
106,F,1.0,4,,,,
107,F,1.0,6,,,,
108,F,1.0,8,,,,
109,Fe,0.0,7,,,,
110,Fe,2.0,6,0.7225,0.8625,0.7,0.84
111,Ga,-3.0,4,,,,
112,Ga,2.0,3,,,,
113,Ga,2.0,4,,,,
114,Ga,3.0,3,0.5466666666666667,0.6866666666666665,,
115,Ga,3.0,4,0.5466666666666667,0.6866666666666665,0.47,0.61
116,Ga,3.0,6,0.5466666666666667,0.6866666666666665,0.62,0.76
117,Ge,-4.0,4,,,,
118,Ge,-3.0,4,,,,
119,Ge,0.0,6,,,,
120,Ge,0.0,7,,,,
121,Ge,0.0,8,,,,
122,Ge,2.0,3,0.73,0.87,,
123,Ge,2.0,5,0.73,0.87,,
124,Ge,2.0,6,0.73,0.87,0.73,0.87
125,Ge,3.0,4,,,,
126,H,-1.0,1,,,,
127,H,-1.0,2,,,,
128,H,-1.0,4,,,,
129,H,-1.0,6,,,,
130,H,-1.0,8,,,,
131,H,0.0,1,,,,
132,H,1.0,1,-0.28,-0.13999999999999999,-0.38,-0.24
133,H,1.0,6,-0.28,-0.13999999999999999,,
134,H,1.0,8,-0.28,-0.13999999999999999,,
135,Hf,-4.0,4,,,,
136,Hg,-1.0,1,,,,
137,Hg,1.0,2,1.08,1.2200000000000002,,
138,Hg,2.0,2,0.9524999999999999,1.0925,0.69,0.83
139,Hg,2.0,4,0.9524999999999999,1.0925,0.96,1.1
140,Ho,3.0,6,1.0270000000000001,1.1669999999999998,0.901,1.041
141,I,-1.0,1,2.2,2.06,,
