,ele_1,ele_2,pearson_corr,mend_1,mend_2,mend_diff
0,H,H,0.9999999999999999,"(103.0, 'H')","(103.0, 'H')",0.0
1,H,He,0.8044855280342722,"(103.0, 'H')","(1.0, 'He')",102.0
2,He,H,0.8044855280342722,"(1.0, 'He')","(103.0, 'H')",102.0
3,H,Li,0.4205268561645401,"(103.0, 'H')","(12.0, 'Li')",91.0
4,Li,H,0.4205268561645401,"(12.0, 'Li')","(103.0, 'H')",91.0
5,H,Be,0.23676641969594367,"(103.0, 'H')","(77.0, 'Be')",26.0
6,Be,H,0.23676641969594367,"(77.0, 'Be')","(103.0, 'H')",26.0
7,H,B,0.47097973883917743,"(103.0, 'H')","(86.0, 'B')",17.0
8,B,H,0.47097973883917743,"(86.0, 'B')","(103.0, 'H')",17.0
9,H,C,0.9050351020779059,"(103.0, 'H')","(95.0, 'C')",8.0
10,C,H,0.9050351020779059,"(95.0, 'C')","(103.0, 'H')",8.0
11,H,N,0.8274238414751471,"(103.0, 'H')","(100.0, 'N')",3.0
12,N,H,0.8274238414751471,"(100.0, 'N')","(103.0, 'H')",3.0
13,H,O,0.7858999268662824,"(103.0, 'H')","(101.0, 'O')",2.0
14,O,H,0.7858999268662824,"(101.0, 'O')","(103.0, 'H')",2.0
15,H,F,0.8993385107436753,"(103.0, 'H')","(102.0, 'F')",1.0
16,F,H,0.8993385107436753,"(102.0, 'F')","(103.0, 'H')",1.0
17,H,Ne,0.7285891563373105,"(103.0, 'H')","(2.0, 'Ne')",101.0
18,Ne,H,0.7285891563373105,"(2.0, 'Ne')","(103.0, 'H')",101.0
19,H,Na,0.4430186739823513,"(103.0, 'H')","(11.0, 'Na')",92.0
20,Na,H,0.4430186739823513,"(11.0, 'Na')","(103.0, 'H')",92.0
21,H,Mg,0.1841603677762837,"(103.0, 'H')","(73.0, 'Mg')",30.0
22,Mg,H,0.1841603677762837,"(73.0, 'Mg')","(103.0, 'H')",30.0
23,H,Al,0.37637131809190083,"(103.0, 'H')","(80.0, 'Al')",23.0
24,Al,H,0.37637131809190083,"(80.0, 'Al')","(103.0, 'H')",23.0
25,H,Si,0.6700511908483584,"(103.0, 'H')","(85.0, 'Si')",18.0
26,Si,H,0.6700511908483584,"(85.0, 'Si')","(103.0, 'H')",18.0
27,H,P,0.6843804624034363,"(103.0, 'H')","(90.0, 'P')",13.0
28,P,H,0.6843804624034363,"(90.0, 'P')","(103.0, 'H')",13.0
29,H,S,0.6828156342193061,"(103.0, 'H')","(94.0, 'S')",9.0
30,S,H,0.6828156342193061,"(94.0, 'S')","(103.0, 'H')",9.0
31,H,Cl,0.8500124698733065,"(103.0, 'H')","(99.0, 'Cl')",4.0
32,Cl,H,0.8500124698733065,"(99.0, 'Cl')","(103.0, 'H')",4.0
33,H,Ar,0.92148819285203,"(103.0, 'H')","(3.0, 'Ar')",100.0
34,Ar,H,0.92148819285203,"(3.0, 'Ar')","(103.0, 'H')",100.0
35,H,K,0.6933203568979487,"(103.0, 'H')","(10.0, 'K')",93.0
36,K,H,0.6933203568979487,"(10.0, 'K')","(103.0, 'H')",93.0
37,H,Ca,0.09006764361588553,"(103.0, 'H')","(16.0, 'Ca')",87.0
38,Ca,H,0.09006764361588553,"(16.0, 'Ca')","(103.0, 'H')",87.0
39,H,Sc,-0.03781500874390875,"(103.0, 'H')","(19.0, 'Sc')",84.0
40,Sc,H,-0.03781500874390875,"(19.0, 'Sc')","(103.0, 'H')",84.0
41,H,Ti,0.07399171202884211,"(103.0, 'H')","(51.0, 'Ti')",52.0
42,Ti,H,0.07399171202884211,"(51.0, 'Ti')","(103.0, 'H')",52.0
43,H,V,0.20040332547894388,"(103.0, 'H')","(54.0, 'V')",49.0
44,V,H,0.20040332547894388,"(54.0, 'V')","(103.0, 'H')",49.0
45,H,Cr,0.07628294812205866,"(103.0, 'H')","(57.0, 'Cr')",46.0
46,Cr,H,0.07628294812205866,"(57.0, 'Cr')","(103.0, 'H')",46.0
47,H,Mn,-0.006071407754621738,"(103.0, 'H')","(60.0, 'Mn')",43.0
48,Mn,H,-0.006071407754621738,"(60.0, 'Mn')","(103.0, 'H')",43.0
49,H,Fe,-0.04343148725069301,"(103.0, 'H')","(61.0, 'Fe')",42.0
50,Fe,H,-0.04343148725069301,"(61.0, 'Fe')","(103.0, 'H')",42.0
51,H,Co,-0.03334849619342865,"(103.0, 'H')","(64.0, 'Co')",39.0
52,Co,H,-0.03334849619342865,"(64.0, 'Co')","(103.0, 'H')",39.0
53,H,Ni,0.11807259690561361,"(103.0, 'H')","(67.0, 'Ni')",36.0
54,Ni,H,0.11807259690561361,"(67.0, 'Ni')","(103.0, 'H')",36.0
55,H,Cu,0.013708873083325532,"(103.0, 'H')","(72.0, 'Cu')",31.0
56,Cu,H,0.013708873083325532,"(72.0, 'Cu')","(103.0, 'H')",31.0
57,H,Zn,0.002310777400480659,"(103.0, 'H')","(76.0, 'Zn')",27.0
58,Zn,H,0.002310777400480659,"(76.0, 'Zn')","(103.0, 'H')",27.0
59,H,Ga,0.1925259141469468,"(103.0, 'H')","(81.0, 'Ga')",22.0
60,Ga,H,0.1925259141469468,"(81.0, 'Ga')","(103.0, 'H')",22.0
61,H,Ge,0.3485199570180817,"(103.0, 'H')","(84.0, 'Ge')",19.0
62,Ge,H,0.3485199570180817,"(84.0, 'Ge')","(103.0, 'H')",19.0
63,H,As,0.35854544425150886,"(103.0, 'H')","(89.0, 'As')",14.0
64,As,H,0.35854544425150886,"(89.0, 'As')","(103.0, 'H')",14.0
65,H,Se,0.4366941955070458,"(103.0, 'H')","(93.0, 'Se')",10.0
66,Se,H,0.4366941955070458,"(93.0, 'Se')","(103.0, 'H')",10.0
67,H,Br,0.7646799554947752,"(103.0, 'H')","(98.0, 'Br')",5.0
68,Br,H,0.7646799554947752,"(98.0, 'Br')","(103.0, 'H')",5.0
69,H,Kr,0.7824317949156628,"(103.0, 'H')","(4.0, 'Kr')",99.0
70,Kr,H,0.7824317949156628,"(4.0, 'Kr')","(103.0, 'H')",99.0
71,H,Rb,0.5589414537013657,"(103.0, 'H')","(9.0, 'Rb')",94.0
72,Rb,H,0.5589414537013657,"(9.0, 'Rb')","(103.0, 'H')",94.0
73,H,Sr,0.15859717234693294,"(103.0, 'H')","(15.0, 'Sr')",88.0
74,Sr,H,0.15859717234693294,"(15.0, 'Sr')","(103.0, 'H')",88.0
75,H,Y,-0.005399989720472176,"(103.0, 'H')","(25.0, 'Y')",78.0
76,Y,H,-0.005399989720472176,"(25.0, 'Y')","(103.0, 'H')",78.0
77,H,Zr,0.2107349357278781,"(103.0, 'H')","(49.0, 'Zr')",54.0
78,Zr,H,0.2107349357278781,"(49.0, 'Zr')","(103.0, 'H')",54.0
79,H,Nb,0.18556370553714602,"(103.0, 'H')","(53.0, 'Nb')",50.0
80,Nb,H,0.18556370553714602,"(53.0, 'Nb')","(103.0, 'H')",50.0
81,H,Mo,0.14797856285211297,"(103.0, 'H')","(56.0, 'Mo')",47.0
82,Mo,H,0.14797856285211297,"(56.0, 'Mo')","(103.0, 'H')",47.0
83,H,Tc,-0.18099196323806843,"(103.0, 'H')","(59.0, 'Tc')",44.0
84,Tc,H,-0.18099196323806843,"(59.0, 'Tc')","(103.0, 'H')",44.0
85,H,Ru,0.25357721315888726,"(103.0, 'H')","(62.0, 'Ru')",41.0
86,Ru,H,0.25357721315888726,"(62.0, 'Ru')","(103.0, 'H')",41.0
87,H,Rh,-0.11839580130367311,"(103.0, 'H')","(65.0, 'Rh')",38.0
88,Rh,H,-0.11839580130367311,"(65.0, 'Rh')","(103.0, 'H')",38.0
89,H,Pd,0.32832101342470776,"(103.0, 'H')","(69.0, 'Pd')",34.0
90,Pd,H,0.32832101342470776,"(69.0, 'Pd')","(103.0, 'H')",34.0
91,H,Ag,0.1192204926804765,"(103.0, 'H')","(71.0, 'Ag')",32.0
92,Ag,H,0.1192204926804765,"(71.0, 'Ag')","(103.0, 'H')",32.0
93,H,Cd,-0.00019433755736983707,"(103.0, 'H')","(75.0, 'Cd')",28.0
94,Cd,H,-0.00019433755736983707,"(75.0, 'Cd')","(103.0, 'H')",28.0
95,H,In,0.15118695920839603,"(103.0, 'H')","(79.0, 'In')",24.0
96,In,H,0.15118695920839603,"(79.0, 'In')","(103.0, 'H')",24.0
97,H,Sn,0.20980576619523772,"(103.0, 'H')","(83.0, 'Sn')",20.0
98,Sn,H,0.20980576619523772,"(83.0, 'Sn')","(103.0, 'H')",20.0
99,H,Sb,0.17179178205202833,"(103.0, 'H')","(88.0, 'Sb')",15.0
100,Sb,H,0.17179178205202833,"(88.0, 'Sb')","(103.0, 'H')",15.0
101,H,Te,0.2194029643938786,"(103.0, 'H')","(92.0, 'Te')",11.0
102,Te,H,0.2194029643938786,"(92.0, 'Te')","(103.0, 'H')",11.0
103,H,I,0.6830318524323516,"(103.0, 'H')","(97.0, 'I')",6.0
104,I,H,0.6830318524323516,"(97.0, 'I')","(103.0, 'H')",6.0
105,H,Xe,0.7272810403595094,"(103.0, 'H')","(5.0, 'Xe')",98.0
106,Xe,H,0.7272810403595094,"(5.0, 'Xe')","(103.0, 'H')",98.0
107,H,Cs,0.6273935763248877,"(103.0, 'H')","(8.0, 'Cs')",95.0
108,Cs,H,0.6273935763248877,"(8.0, 'Cs')","(103.0, 'H')",95.0
109,H,Ba,0.21315790043663155,"(103.0, 'H')","(14.0, 'Ba')",89.0
110,Ba,H,0.21315790043663155,"(14.0, 'Ba')","(103.0, 'H')",89.0
111,H,La,0.09716723019984909,"(103.0, 'H')","(33.0, 'La')",70.0
112,La,H,0.09716723019984909,"(33.0, 'La')","(103.0, 'H')",70.0
113,H,Ce,0.08375318348332769,"(103.0, 'H')","(32.0, 'Ce')",71.0
114,Ce,H,0.08375318348332769,"(32.0, 'Ce')","(103.0, 'H')",71.0
115,H,Pr,-0.11524280689919307,"(103.0, 'H')","(31.0, 'Pr')",72.0
116,Pr,H,-0.11524280689919307,"(31.0, 'Pr')","(103.0, 'H')",72.0
117,H,Nd,0.09651147274633796,"(103.0, 'H')","(30.0, 'Nd')",73.0
118,Nd,H,0.09651147274633796,"(30.0, 'Nd')","(103.0, 'H')",73.0
119,H,Pm,-0.0749223242536011,"(103.0, 'H')","(29.0, 'Pm')",74.0
120,Pm,H,-0.0749223242536011,"(29.0, 'Pm')","(103.0, 'H')",74.0
121,H,Sm,-0.010669899609069847,"(103.0, 'H')","(28.0, 'Sm')",75.0
122,Sm,H,-0.010669899609069847,"(28.0, 'Sm')","(103.0, 'H')",75.0
123,H,Eu,0.0732710853599292,"(103.0, 'H')","(18.0, 'Eu')",85.0
124,Eu,H,0.0732710853599292,"(18.0, 'Eu')","(103.0, 'H')",85.0
125,H,Gd,-0.037414213387030396,"(103.0, 'H')","(27.0, 'Gd')",76.0
126,Gd,H,-0.037414213387030396,"(27.0, 'Gd')","(103.0, 'H')",76.0
127,H,Tb,-0.04995252685513329,"(103.0, 'H')","(26.0, 'Tb')",77.0
128,Tb,H,-0.04995252685513329,"(26.0, 'Tb')","(103.0, 'H')",77.0
129,H,Dy,-0.06833975043849441,"(103.0, 'H')","(24.0, 'Dy')",79.0
130,Dy,H,-0.06833975043849441,"(24.0, 'Dy')","(103.0, 'H')",79.0
131,H,Ho,-0.085366018006576,"(103.0, 'H')","(23.0, 'Ho')",80.0
132,Ho,H,-0.085366018006576,"(23.0, 'Ho')","(103.0, 'H')",80.0
133,H,Er,-0.014384572120691767,"(103.0, 'H')","(22.0, 'Er')",81.0
