,ele_1,ele_2,mend_1,mend_2,euclid_dist,reciprocal_euclid_dist,pearson_corr,mend_diff
0,H,H,"(103.0, 'H')","(103.0, 'H')",0.0,inf,0.9999999999999999,0.0
1,H,He,"(103.0, 'H')","(1.0, 'He')",3.585413832924148,0.2789078322890366,0.5532724565090579,102.0
2,He,H,"(1.0, 'He')","(103.0, 'H')",3.585413832924148,0.2789078322890366,0.5532724565090579,102.0
3,H,Li,"(103.0, 'H')","(12.0, 'Li')",4.37051246814168,0.22880611994345712,0.3083133596865793,91.0
4,Li,H,"(12.0, 'Li')","(103.0, 'H')",4.37051246814168,0.22880611994345712,0.3083133596865793,91.0
5,H,Be,"(103.0, 'H')","(77.0, 'Be')",4.432806632570277,0.22559071100743444,0.3640648996315723,26.0
6,Be,H,"(77.0, 'Be')","(103.0, 'H')",4.432806632570277,0.22559071100743444,0.3640648996315723,26.0
7,H,B,"(103.0, 'H')","(86.0, 'B')",3.5000618832838644,0.28570923410696086,0.4917484189975503,17.0
8,B,H,"(86.0, 'B')","(103.0, 'H')",3.5000618832838644,0.28570923410696086,0.4917484189975503,17.0
9,H,C,"(103.0, 'H')","(95.0, 'C')",3.2759585768821893,0.3052541650119779,0.46503449975565464,8.0
10,C,H,"(95.0, 'C')","(103.0, 'H')",3.2759585768821893,0.3052541650119779,0.46503449975565464,8.0
11,H,N,"(103.0, 'H')","(100.0, 'N')",3.063932675848409,0.32637792856303477,0.5947552813029275,3.0
12,N,H,"(100.0, 'N')","(103.0, 'H')",3.063932675848409,0.32637792856303477,0.5947552813029275,3.0
13,H,O,"(103.0, 'H')","(101.0, 'O')",2.795533239487196,0.35771350734625385,0.6644346592357954,2.0
14,O,H,"(101.0, 'O')","(103.0, 'H')",2.795533239487196,0.35771350734625385,0.6644346592357954,2.0
15,H,F,"(103.0, 'H')","(102.0, 'F')",3.8104639410765673,0.2624352350431824,0.46402950981813673,1.0
16,F,H,"(102.0, 'F')","(103.0, 'H')",3.8104639410765673,0.2624352350431824,0.46402950981813673,1.0
17,H,Ne,"(103.0, 'H')","(2.0, 'Ne')",4.158965854257806,0.24044438811062477,0.4756750565393979,101.0
18,Ne,H,"(2.0, 'Ne')","(103.0, 'H')",4.158965854257806,0.24044438811062477,0.4756750565393979,101.0
19,H,Na,"(103.0, 'H')","(11.0, 'Na')",4.355128155769537,0.2296143682190457,0.32406080784559244,92.0
20,Na,H,"(11.0, 'Na')","(103.0, 'H')",4.355128155769537,0.2296143682190457,0.32406080784559244,92.0
21,H,Mg,"(103.0, 'H')","(73.0, 'Mg')",4.153327820920614,0.24077078504685503,0.3376760403228281,30.0
22,Mg,H,"(73.0, 'Mg')","(103.0, 'H')",4.153327820920614,0.24077078504685503,0.3376760403228281,30.0
23,H,Al,"(103.0, 'H')","(80.0, 'Al')",3.7352004139006896,0.26772325154989335,0.37626747037649494,23.0
24,Al,H,"(80.0, 'Al')","(103.0, 'H')",3.7352004139006896,0.26772325154989335,0.37626747037649494,23.0
