,ele_1,ele_2,mend_1,mend_2,euclid_dist,reciprocal_euclid_dist,pearson_corr,mend_diff
0,H,H,"(103.0, 'H')","(103.0, 'H')",0.0,inf,1.0,0.0
1,H,He,"(103.0, 'H')","(1.0, 'He')",1.5691385952533907,0.6372923354412272,0.5594258831281738,102.0
2,He,H,"(1.0, 'He')","(103.0, 'H')",1.5691385952533907,0.6372923354412272,0.5594258831281738,102.0
3,H,Li,"(103.0, 'H')","(12.0, 'Li')",1.6617449053013005,0.6017770819154004,0.385985598668896,91.0
4,Li,H,"(12.0, 'Li')","(103.0, 'H')",1.6617449053013005,0.6017770819154004,0.385985598668896,91.0
5,H,Be,"(103.0, 'H')","(77.0, 'Be')",1.7571972537338136,0.5690880735643828,0.3916535852153835,26.0
6,Be,H,"(77.0, 'Be')","(103.0, 'H')",1.7571972537338136,0.5690880735643828,0.3916535852153835,26.0
7,H,B,"(103.0, 'H')","(86.0, 'B')",1.8278602705388274,0.5470877703935291,0.5037708061695529,17.0
8,B,H,"(86.0, 'B')","(103.0, 'H')",1.8278602705388274,0.5470877703935291,0.5037708061695529,17.0
9,H,C,"(103.0, 'H')","(95.0, 'C')",2.1884481266661466,0.4569448038612581,0.5364955530828641,8.0
10,C,H,"(95.0, 'C')","(103.0, 'H')",2.1884481266661466,0.4569448038612581,0.5364955530828641,8.0
11,H,N,"(103.0, 'H')","(100.0, 'N')",1.6800027673492781,0.595237114744643,0.5912532022795829,3.0
12,N,H,"(100.0, 'N')","(103.0, 'H')",1.6800027673492781,0.595237114744643,0.5912532022795829,3.0
13,H,O,"(103.0, 'H')","(101.0, 'O')",2.198567924463262,0.45484153064960714,-0.1399331215207341,2.0
14,O,H,"(101.0, 'O')","(103.0, 'H')",2.198567924463262,0.45484153064960714,-0.1399331215207341,2.0
15,H,F,"(103.0, 'H')","(102.0, 'F')",2.9381271271590683,0.34035286994777497,-0.3807038085993421,1.0
16,F,H,"(102.0, 'F')","(103.0, 'H')",2.9381271271590683,0.34035286994777497,-0.3807038085993421,1.0
17,H,Ne,"(103.0, 'H')","(2.0, 'Ne')",2.0208162626192134,0.49484954099878603,-0.18785230216227744,101.0
18,Ne,H,"(2.0, 'Ne')","(103.0, 'H')",2.0208162626192134,0.49484954099878603,-0.18785230216227744,101.0
19,H,Na,"(103.0, 'H')","(11.0, 'Na')",1.8518985583761816,0.5399863807210045,0.16117118994640345,92.0
20,Na,H,"(11.0, 'Na')","(103.0, 'H')",1.8518985583761816,0.5399863807210045,0.16117118994640345,92.0
21,H,Mg,"(103.0, 'H')","(73.0, 'Mg')",2.0255974464039723,0.49368150704143726,-0.304802468226201,30.0
22,Mg,H,"(73.0, 'Mg')","(103.0, 'H')",2.0255974464039723,0.49368150704143726,-0.304802468226201,30.0
23,H,Al,"(103.0, 'H')","(80.0, 'Al')",2.3232273854098318,0.4304356974612684,-0.4233115593714807,23.0
24,Al,H,"(80.0, 'Al')","(103.0, 'H')",2.3232273854098318,0.4304356974612684,-0.4233115593714807,23.0
25,H,Si,"(103.0, 'H')","(85.0, 'Si')",2.3785610501515664,0.4204222548486944,-0.7877369945332134,18.0
26,Si,H,"(85.0, 'Si')","(103.0, 'H')",2.3785610501515664,0.4204222548486944,-0.7877369945332134,18.0
27,H,P,"(103.0, 'H')","(90.0, 'P')",2.3446834934210408,0.4264967970329066,-0.5485628047086609,13.0
28,P,H,"(90.0, 'P')","(103.0, 'H')",2.3446834934210408,0.4264967970329066,-0.5485628047086609,13.0
