,ele_1,ele_2,EMD,mend_1,mend_2,mend_diff
0,H,H,0.0,"(103.0, 'H')","(103.0, 'H')",0.0
1,H,He,1.0,"(103.0, 'H')","(1.0, 'He')",102.0
2,He,H,1.0,"(1.0, 'He')","(103.0, 'H')",102.0
3,H,Li,0.8921568627450981,"(103.0, 'H')","(12.0, 'Li')",91.0
4,Li,H,0.8921568627450981,"(12.0, 'Li')","(103.0, 'H')",91.0
5,H,Be,0.2549019607843137,"(103.0, 'H')","(77.0, 'Be')",26.0
6,Be,H,0.2549019607843137,"(77.0, 'Be')","(103.0, 'H')",26.0
7,H,B,0.16666666666666666,"(103.0, 'H')","(86.0, 'B')",17.0
8,B,H,0.16666666666666666,"(86.0, 'B')","(103.0, 'H')",17.0
9,H,C,0.1568627450980392,"(103.0, 'H')","(95.0, 'C')",8.0
10,C,H,0.1568627450980392,"(95.0, 'C')","(103.0, 'H')",8.0
11,H,N,0.14705882352941177,"(103.0, 'H')","(100.0, 'N')",3.0
12,N,H,0.14705882352941177,"(100.0, 'N')","(103.0, 'H')",3.0
13,H,O,0.058823529411764705,"(103.0, 'H')","(101.0, 'O')",2.0
14,O,H,0.058823529411764705,"(101.0, 'O')","(103.0, 'H')",2.0
15,H,F,0.00980392156862745,"(103.0, 'H')","(102.0, 'F')",1.0
16,F,H,0.00980392156862745,"(102.0, 'F')","(103.0, 'H')",1.0
17,H,Ne,0.9901960784313726,"(103.0, 'H')","(2.0, 'Ne')",101.0
18,Ne,H,0.9901960784313726,"(2.0, 'Ne')","(103.0, 'H')",101.0
19,H,Na,0.9019607843137255,"(103.0, 'H')","(11.0, 'Na')",92.0
20,Na,H,0.9019607843137255,"(11.0, 'Na')","(103.0, 'H')",92.0
21,H,Mg,0.29411764705882354,"(103.0, 'H')","(73.0, 'Mg')",30.0
22,Mg,H,0.29411764705882354,"(73.0, 'Mg')","(103.0, 'H')",30.0
23,H,Al,0.24509803921568626,"(103.0, 'H')","(80.0, 'Al')",23.0
24,Al,H,0.24509803921568626,"(80.0, 'Al')","(103.0, 'H')",23.0
25,H,Si,0.17647058823529413,"(103.0, 'H')","(85.0, 'Si')",18.0
26,Si,H,0.17647058823529413,"(85.0, 'Si')","(103.0, 'H')",18.0
27,H,P,0.13725490196078433,"(103.0, 'H')","(90.0, 'P')",13.0
28,P,H,0.13725490196078433,"(90.0, 'P')","(103.0, 'H')",13.0
29,H,S,0.06862745098039216,"(103.0, 'H')","(94.0, 'S')",9.0
30,S,H,0.06862745098039216,"(94.0, 'S')","(103.0, 'H')",9.0
31,H,Cl,0.0196078431372549,"(103.0, 'H')","(99.0, 'Cl')",4.0
32,Cl,H,0.0196078431372549,"(99.0, 'Cl')","(103.0, 'H')",4.0
33,H,Ar,0.9803921568627451,"(103.0, 'H')","(3.0, 'Ar')",100.0
34,Ar,H,0.9803921568627451,"(3.0, 'Ar')","(103.0, 'H')",100.0
35,H,K,0.9117647058823529,"(103.0, 'H')","(10.0, 'K')",93.0
36,K,H,0.9117647058823529,"(10.0, 'K')","(103.0, 'H')",93.0
37,H,Ca,0.8529411764705882,"(103.0, 'H')","(16.0, 'Ca')",87.0
38,Ca,H,0.8529411764705882,"(16.0, 'Ca')","(103.0, 'H')",87.0
39,H,Sc,0.5392156862745098,"(103.0, 'H')","(19.0, 'Sc')",84.0
40,Sc,H,0.5392156862745098,"(19.0, 'Sc')","(103.0, 'H')",84.0
41,H,Ti,0.5098039215686274,"(103.0, 'H')","(51.0, 'Ti')",52.0
42,Ti,H,0.5098039215686274,"(51.0, 'Ti')","(103.0, 'H')",52.0
43,H,V,0.4803921568627451,"(103.0, 'H')","(54.0, 'V')",49.0
44,V,H,0.4803921568627451,"(54.0, 'V')","(103.0, 'H')",49.0
45,H,Cr,0.47058823529411764,"(103.0, 'H')","(57.0, 'Cr')",46.0
