0,Ac3+,Ag1+,Ag2+,Ag3+,Al3+,Am3+,As3+,As5+,Au1+,Au2+,Au3+,B3+,Ba2+,Be2+,Bi2+,Bi3+,Bi5+,Bk3+,Br1-,Br3+,Br5+,Br7+,C1+,C2+,C3+,C4+,Ca2+,Cd2+,Ce2+,Ce3+,Ce4+,Cf3+,Cl1-,Cl3+,Cl5+,Cl7+,Cm3+,Co1+,Co2+,Co3+,Co4+,Cr2+,Cr3+,Cr4+,Cr5+,Cr6+,Cs1+,Cu1+,Cu2+,Cu3+,Dy2+,Dy3+,Er2+,Er3+,Eu2+,Eu3+,F1-,Fe2+,Fe3+,Fe4+,Fe5+,Fe6+,Ga2+,Ga3+,Gd2+,Gd3+,Ge2+,Ge3+,Ge4+,H1+,Hf4+,Hg1+,Hg2+,Ho2+,Ho3+,I1-,I5+,I7+,In1+,In2+,In3+,Ir3+,Ir4+,Ir5+,Ir6+,K1+,Kr2+,La2+,La3+,Li1+,Lu3+,Mg2+,Mn1+,Mn2+,Mn3+,Mn4+,Mn5+,Mn6+,Mn7+,Mo2+,Mo3+,Mo4+,Mo5+,Mo6+,N1+,N3+,N3-,N5+,Na1+,Nb3+,Nb4+,Nb5+,Nb7+,Nd2+,Nd3+,Ni1+,Ni2+,Ni3+,Ni4+,Np3+,Np4+,Np6+,O2-,Os4+,Os5+,Os6+,Os7+,P1+,P3+,P4+,P5+,Pa4+,Pb2+,Pb4+,Pd2+,Pd3+,Pd4+,Po4+,Pr2+,Pr3+,Pr4+,Pt2+,Pt4+,Pt5+,Pu3+,Pu4+,Pu6+,Rb1+,Re1+,Re3+,Re4+,Re5+,Re6+,Re7+,Rh1+,Rh2+,Rh3+,Rh4+,Rh5+,Ru3+,Ru4+,Ru5+,Ru6+,S2+,S2-,S4+,S5+,S6+,Sb3+,Sb5+,Sc2+,Sc3+,Se2+,Se2-,Se4+,Se6+,Si4+,Sm2+,Sm3+,Sn2+,Sn3+,Sn4+,Sr2+,Ta2+,Ta3+,Ta4+,Ta5+,Tb3+,Tb4+,Tc4+,Tc7+,Te4+,Te6+,Th3+,Th4+,Ti2+,Ti3+,Ti4+,Tl1+,Tl3+,Tm2+,Tm3+,U3+,U4+,U5+,U6+,V2+,V3+,V4+,V5+,W2+,W3+,W4+,W5+,W6+,Xe2+,Xe6+,Y2+,Y3+,Yb2+,Yb3+,Zn2+,Zr2+,Zr3+,Zr4+
Ac3+,-0.856428,,,,,-1.22476,,,,,,,,,,-0.638127,,,,,,,,,,,,,,-1.22476,,,,,,,-1.22475,,,,,,,,,,,,,,,,,,,-0.164015,,,,,,,,,,-1.22493,,,,,,,,,,,,,,,,,,,,,,,-0.638127,,,,,,,,,,,,,,,,,,,,,,,,,,-1.22476,,,,,-1.22476,,,-1.22476,,,,,,,,,,0.202504,,,,,,,-1.22475,,,,,,,,,,,,,,,,,,,,,,,,,0.202504,,,,,,,,,-0.638127,,,,,-1.22493,,,,,,,,,,,,,,,,-0.164015,,,,,,,-1.22476,,0.202504,,,,,,,,,,,,,,,-0.638127,,-1.22475,,,,-1.22493
Ag1+,,4.17578,-0.91898,-1.22493,0.918876,,,-0.638127,1.22808,,-1.55346,0.728063,1.38726,0.918539,,1.0202,-0.91898,-1.55346,0.657344,,,,,,,1.11969,0.8377,0.98737,,0.572944,-0.91898,-1.55329,0.470993,,,,,,0.0338434,0.348379,,-1.55329,0.88048,,,,2.10132,3.41108,0.728063,-0.91898,,0.348379,,1.02055,-1.55344,-0.38863,0.728063,0.918876,0.918731,,,,,1.4698,,0.657344,,,0.987166,0.470993,-0.638127,,1.0202,,0.470993,-1.22476,-1.22476,-0.91898,,,1.70005,,,,-1.22493,2.33616,,,0.918653,2.75272,-0.164015,1.30671,,1.02047,-0.91898,-1.22493,,,,,0.202504,,-1.55329,0.953781,,,0.787162,-0.638127,2.91532,,,-0.164015,,,0.8377,,0.0338434,-0.164015,,,,,2.25141,,,,-1.22476,,,,-0.164015,,0.0338434,,-0.38863,,,,,0.470993,-1.55329,-0.91898,-1.22476,,,,,2.03552,,,,-1.22476,-1.22476,-1.22475,,,0.0338434,,,,,-0.638127,,,-1.22493,,,,-0.38863,0.728063,,0.728063,,-1.55346,,,1.22801,,0.470993,0.0338434,,-0.38863,1.05251,,,,-1.55346,0.202504,,,-0.38863,,-1.55329,,-0.38863,,0.348379,0.572944,1.46954,0.202504,,-0.638127,-1.55346,-0.91898,-1.22493,-0.91898,,0.657344,,-1.22476,,,,,1.2281,,,,0.202504,,0.728063,1.02055,,,0.0338434
Ag2+,,,1.06647,,-0.164015,,,,,,,-1.55329,,-1.22476,,,,,,,,,,,,-1.22476,,-0.91898,,,-1.55346,,,,,,,,-0.91898,-0.38863,,-0.91898,0.0338434,,,,,-1.55329,0.8377,,-1.55329,,,-1.55346,,-1.55329,,-1.55344,0.95397,-1.22493,,,,-0.638127,,,,,-1.22476,,-1.55329,,-1.22476,,,,,,,,-0.638127,,-1.55344,,,,,,,-1.55329,-1.55329,-0.164015,,0.728063,0.202504,,,,,,,-0.638127,,,,,,,-0.91898,,-1.22493,,,,,,-0.38863,-0.164015,,,,,-0.91898,,,,,,,,-1.55346,,-0.638127,-0.91898,-0.164015,,,,,,-1.22493,,-1.55329,,,,,,,,-1.55329,,,,,,,,,-1.22476,-0.38863,,,,,,,,,,,0.470993,,,,,-0.91898,,-1.55329,-1.55344,,-0.91898,,,,,-1.55329,,-1.22476,,,,,,,,-0.38863,-0.638127,,,,,,-1.55346,,-0.91898,,0.348379,-1.22493,,,,,,,,,,-1.55329,-1.22476,-1.55346,-0.91898,,,-0.164015
Ag3+,,,,-0.15512,-1.55329,,,,-1.55344,,-0.38863,,,,,-0.164015,-1.55329,-1.55346,,-1.22476,,,,,,,-0.638127,,,-1.55329,-1.55344,,,,,,,,-0.91898,-0.91898,,,-0.91898,,,,-1.22476,,,-0.91898,,-1.22476,,-0.638127,,-1.22493,,-1.22493,-0.638127,,,,,,,-1.55329,,,,,,,,,-1.55346,,,,,,-1.55329,,,,-1.55346,1.19048,,,,-0.91898,-1.55329,-0.91898,,-1.55329,-1.55346,,,,,,-0.164015,,,0.0338434,,,,,1.30671,,,-1.55344,,,-1.55329,,-0.91898,-0.638127,,,,,,,,,-1.22476,,,,,,,,-0.91898,,,,,-1.55346,,,-1.55329,,,,,-1.55344,,,,,,-1.55329,,,-0.38863,,,,,-0.91898,,,,,,,,0.572944,,-1.22476,,,,,-1.55346,,-1.55329,,,,,,,,-1.55344,-0.91898,,,,,,,,,-0.91898,-1.55329,-0.638127,,,-1.22476,-1.55346,,-1.55329,-1.55344,,-0.638127,,,,,,,0.348379,,,,-1.55329,,-1.22476,-0.91898,,,
Al3+,,,,,4.40163,,,-0.38863,,,,1.58966,,1.11963,,0.8377,-0.638127,-1.55329,-1.55346,,-1.55329,-1.55346,,,,1.26665,0.787163,0.348379,,-0.91898,0.202504,,-1.55346,,-1.55329,-1.55346,,,1.15444,2.1014,,-0.91898,3.15096,,,-0.638127,,1.02047,0.88048,-1.55346,-1.22475,0.8377,,1.086,,-0.38863,-1.22476,1.05263,3.31751,-0.91898,,,,3.25526,,-0.164015,-1.55329,,1.26667,,-1.55329,,-0.38863,,0.0338434,,-0.164015,,,,2.66365,-0.38863,-0.164015,0.8377,-0.91898,1.9174,,,0.0338434,2.59604,1.51045,1.9177,,1.22828,2.14957,-1.55329,,,-1.22476,,0.8377,,-1.55346,0.470993,,,-0.164015,0.202504,2.59597,,0.0338434,-0.38863,,,0.202504,,1.42816,1.95386,,,,,-1.55344,,,,-0.638127,,,,0.953817,,-0.164015,-0.638127,0.572944,-1.55346,,,,-0.38863,0.202504,,-1.55329,,,,,1.15464,,,,-1.55329,,-0.91898,,-1.55329,0.88048,-1.22475,,0.202504,0.657344,0.787162,,,,,,0.202504,,0.787162,,2.80445,,,1.34637,-1.22475,1.95395,,-0.38863,-0.638127,,-1.55329,-1.22476,-1.22476,,,0.348379,0.348379,0.0338434,,,-0.38863,-0.38863,,,,1.98493,0.787162,1.4285,0.348379,,0.787162,-1.55344,-0.38863,-1.22493,-0.638127,,2.45905,-1.22476,-0.91898,,,,-1.55329,0.918626,,,,1.30657,-0.638127,1.42801,1.30671,,-0.38863,1.15413
Am3+,,,,,,-0.15512,,,,,,,-0.638127,,,0.348379,,,,,,,,,,,-1.55329,,,-0.638127,,,,,,,-0.91898,,,,,,,,,,,,,,,,,-1.55346,,0.348379,,,,,,,,,,-0.38863,,,,,,,,,-1.22475,,,,,,,,,,,,,,0.348379,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38863,,,,,-0.91898,-1.22476,,-0.91898,,,,,,,,,,0.657344,,,,,,,-0.164015,,,,,-0.164015,,,,,,,,,,,,,,,,,,,,0.787162,,,,,,,,,0.348379,,,,-1.22493,-0.38863,,,,-0.91898,,,,,-1.55329,,,,,,,0.657344,,,,,,,-0.91898,,0.728063,,,,,,,,,,,,,,,0.202504,-1.22493,-0.91898,,,,-0.91898
Am4+,,,,,,,,,,-1.55329,,,,,,,,,,,,,,,,,-1.55346,-0.91898,,-1.55344,,,,,,,,,,-0.638127,-1.55329,,-1.55329,,,,-1.55346,,,,,,,,,,,-1.55329,,-1.55346,,,,,,,,,,,,,-1.22475,,,,,,,,,,-1.55344,,,,,,-1.55329,,,,,-1.55329,,,,,,,,,,,,,,,,,-1.55329,-1.55346,,,-1.55329,,,,,,,,-1.55346,,,,,,,,,,-1.55329,,,,,,,-1.55344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.55329,,-1.22493,-1.55329,,,-1.55346,-1.55329,,-1.55346,,,,,,-1.55329,,-1.55344,-1.55329,,,,,,,,,-1.22493,-0.638127,,,,,,,,,,,,,,,,,
As3+,,,,,,,1.90728,,,,,,,,,-0.638127,,,-1.55329,,,,,,,,,,,-0.638127,-1.55329,,-1.55344,,,,,,,-1.22493,,,-0.38863,,,,0.787162,,,,,-0.38863,,0.348379,,-0.91898,,,-1.22475,,,,,-1.55344,,0.0338434,,,,,-1.55329,,,,-0.38863,,,,,,-0.638127,,,,,0.348379,,,-0.38863,0.787162,-0.638127,,,,,,,,,,-1.55329,,,,,,-1.22493,,1.02035,,,,,,-0.164015,,,-1.55329,,,,,,,,,,,,,,,-0.638127,,,,,,,-0.91898,,,,,,,,1.51052,,,,,,,,,-1.22493,,,,,,,,,,,,0.348379,,,-0.91898,,,,,,,-0.638127,,,,-0.91898,,,,,-0.638127,,,,,,,,,-1.22475,,0.728063,-0.91898,,-1.22493,,,,,,-0.91898,,,,,,,,,,,-0.91898,,-0.164015,,,,-1.55346
As5+,,,,,,,,3.46875,,,,0.657344,-1.55344,-0.91898,,-0.91898,-1.22476,,,,-0.91898,,,,,,0.0338434,-0.38863,,,,,,,,,,,-0.164015,,,,,-0.164015,1.086,1.0202,,-1.55329,-1.22476,,-0.91898,0.470993,-0.91898,-1.22493,,-0.38863,,-0.91898,-1.55329,,-1.22476,,,0.348379,,,,,2.10137,,-1.55329,,-1.22493,-0.91898,-1.55329,,,,,,-1.55329,,,-1.55346,,-1.55329,,,,1.26664,-0.164015,-0.638127,,-0.164015,,-1.22493,-1.22476,,,,,,,-1.55346,,,,-1.55329,-1.22476,,,0.787162,,,-0.38863,,-0.38863,,,,,,,,-0.91898,,,,,,3.46877,,,-1.55346,-1.55329,,,,,-1.22476,,,0.202504,,,,,,,,,-0.91898,,,,,,,-1.55329,,,,,,,,,-0.638127,,2.03552,,-1.22476,,,,-0.638127,2.56898,,-0.38863,,,0.657344,,,,,0.202504,-1.22493,,,,,,,0.0338434,,,-0.164015,-1.55329,,,-0.38863,,-0.91898,-0.91898,,,,-1.22493,2.03555,,,,,,,,-0.91898,0.348379,-0.91898,-1.22476,0.657344,,,-0.91898
Au1+,,,,,,,,,2.64616,,-1.55329,,,,,-1.55329,-1.55329,,,,,,,,,,,0.0338434,,,,,,,,,,-1.55329,,,,,,,,,-1.55346,1.84989,,,,,,,,,-1.55344,,,,,,,,,,,,,-1.22493,,,0.0338434,,,,,,,,,,,,,,,,,,,,,-1.22476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.22476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.638127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348379,,,
