0,Ag1+,Ag2+,Ag3+,Al3+,As3+,Au1+,Au3+,B3+,Ba2+,Be2+,Bi3+,Br1-,Br3+,Ca2+,Cd2+,Ce3+,Ce4+,Cl1-,Co2+,Co3+,Co4+,Cr2+,Cr3+,Cr4+,Cs1+,Cu1+,Cu2+,Cu3+,Dy2+,Dy3+,Er3+,Eu2+,Eu3+,F1-,Fe2+,Fe3+,Fe4+,Ga3+,Gd3+,Ge2+,Ge4+,H1+,Hf4+,Hg1+,Hg2+,Ho3+,I1-,In3+,Ir3+,Ir4+,K1+,La3+,Li1+,Lu3+,Mg2+,Mn2+,Mn3+,Mn4+,Mo3+,Mo4+,N3-,Na1+,Nb3+,Nb4+,Nd2+,Nd3+,Ni2+,Ni3+,Ni4+,O2-,Os4+,P3+,Pb2+,Pb4+,Pd1+,Pd2+,Pd4+,Pr3+,Pr4+,Pt2+,Pt4+,Rb1+,Re4+,Rh3+,Rh4+,Ru3+,Ru4+,S2-,Sb3+,Sc3+,Se2-,Si4+,Sm2+,Sm3+,Sn4+,Sr2+,Ta3+,Ta4+,Tb3+,Tb4+,Te2-,Te4+,Ti2+,Ti3+,Ti4+,Tl1+,Tl3+,Tm2+,Tm3+,V2+,V3+,V4+,W4+,Y3+,Yb2+,Yb3+,Zn2+,Zr4+
Ag1+,1.0,0.9942481203808129,0.9815891175122127,0.9475616103738395,0.9654487158229969,0.985805768171224,0.9869009260507172,0.8706699089647636,0.9745902684205419,0.9120510584540212,0.9998527518817488,0.8796334860474802,0.966869173393482,0.9986947701666794,0.9995529484931424,0.9983016023948574,0.9996431172609173,0.9164652906674812,0.9818501292528162,0.9654487158229969,0.9469705220828064,0.9873390956835918,0.9702898780000663,0.9496043315285297,0.9212309695920129,0.9696206444295641,0.9722528566591289,0.9594687385247624,0.9992990502800605,0.9994002498958767,0.9988928688938046,0.9944717945316794,0.999901702563973,0.9910649018518276,0.9828755420267121,0.9699561929242412,0.966162671445943,0.9604985288540564,0.9997967055667395,0.9836250357091898,0.9460776782500839,0.731752565965788,0.9826219839615159,0.9999485848512718,0.998231178176612,0.9998232992157821,0.8067493182929318,0.9881930739231188,0.9783116299545265,0.9716059841148487,0.9713264712870733,0.9975484848063841,0.9861540796061322,0.998363909797209,0.9815891175122127,0.9901209777153359,0.9675682216656135,0.9460776782500839,0.9794339405087179,0.974765810082176,0.9763183041884483,0.9992086934802245,0.9826219839615159,0.9841153810699158,0.9900330669379601,0.9992732618941645,0.966869173393482,0.9654487158229969,0.9496043315285297,0.984680305777146,0.9722528566591289,0.9424317661651205,0.9916921752228268,0.9876628314337617,0.966869173393482,0.9855416950996495,0.9702898780000663,0.9997969676285018,0.9963521864672287,0.9805264363612799,0.9716059841148487,0.9479188691770443,0.9722528566591289,0.9765722615576843,0.9682598162623377,0.9783116299545265,0.9709516578951611,0.9096355943728097,0.9873390956835918,0.9903877820265418,0.8742157288371141,0.9202474985313217,0.9935149981639619,0.9999114553255598,0.9787641319403986,0.9919828537746748,0.9826219839615159,0.9783116299545265,0.9995980118765951,0.9913108398649333,0.8033397941994584,0.982281007889707,0.9939515705806778,0.9771595046987057,0.9638150631706597,0.9572934484288987,0.994631925508137,0.9999996957683507,0.9988950090155669,0.9890172374610166,0.9735242407214671,0.9696206444295641,0.9759775647412555,0.9992071411382341,0.9999485848512718,0.9983114382885875,0.9836250357091898,0.98523053372947
Ag2+,0.9942481203808129,1.0,0.9964185089667715,0.9765441116792468,0.9878915043007707,0.9619825285848451,0.9985092649185313,0.9194667640613586,0.9446595784748806,0.9512823634445257,0.9959414737407015,0.8212571368942025,0.9887263159463932,0.9874629179648484,0.997008177510108,0.9862986497252907,0.9967567194883797,0.8668736303871438,0.9965331092261595,0.9878915043007707,0.9761482386965012,0.9986546115889745,0.9906829057408209,0.9779035792549307,0.8729082088155447,0.9903064951327499,0.9917674155125893,0.9842541107019872,0.9895313128903862,0.99736303871439,0.9981880021913806,0.9774420476737079,0.9956536780161298,0.9709751550364485,0.9969728760751927,0.9904956321462113,0.9883126369612856,0.984893470414706,0.9962075326843667,0.9972831353140234,0.9755482178262102,0.8045609039817534,0.9968657294912121,0.993109077085911,0.9988586559532505,0.9960877148521936,0.7343174669429495,0.9989229439036389,0.9948979591836735,0.9914133659307405,0.9398898346774794,0.9842863933983624,0.9982504567446653,0.9987473684384881,0.9964185089667715,0.9994452974761855,0.9891325412560934,0.9755482178262102,0.9954346238130022,0.9931090770859111,0.9472242512783053,0.9891899649798949,0.9968657294912121,0.997480657712318,0.9691380569758948,0.9894323187638825,0.9887263159463932,0.9878915043007707,0.9779035792549307,0.960154291080932,0.9917674155125893,0.9730735975909721,0.9721148685917026,0.9987587301173209,0.9887263159463932,0.9980285028547576,0.9906829057408209,0.9918837756675595,0.999761482386965,0.9959414737407015,0.9914133659307405,0.9075511322132944,0.9917674155125893,0.9940370596741254,0.9895313128903862,0.9948979591836735,0.9910518626734843,0.8582869963178843,0.9986546115889745,0.9995071257136894,0.814668087834111,0.957331435130663,0.97554821782621,0.9927322729237787,0.9951162027996004,0.97264956627891,0.9968657294912121,0.9948979591836735,0.9968873078815164,0.9996981261460026,0.7303222969246135,0.9967199687276908,0.9999962731622963,0.9943314798527154,0.9869167033139041,0.9201955678789655,0.999993374510749,0.9943314798527154,0.9981852619304357,0.9991614615166738,0.9924531536500648,0.9903064951327499,0.9937351858201279,0.9977262935853669,0.993109077085911,0.9987925045840104,0.9972831353140234,0.9979125567928657
Ag3+,0.9815891175122127,0.9964185089667715,1.0,0.9912936930311448,0.997480657712318,0.9350635798512246,0.9995490526378558,0.9498516718593939,0.9129212961850264,0.9741191826133911,0.9847348727657608,0.76707264352052,0.9978533414826851,0.9704797185492167,0.9868798749107629,0.9687069819405727,0.9863588422951357,0.8196210551422907,0.9999990682905741,0.997480657712318,0.9910518626734843,0.9994633353706712,0.9986546115889745,0.9921140114190308,0.8266569106337446,0.9985092649185313,0.9990459295478601,0.9956917756145556,0.9737034331628927,0.9876352469402663,0.9895115513334626,0.9558837822930487,0.9841813535129172,0.9470022715075804,0.9999767072643521,0.9985828699631788,0.9976707264352052,0.9960230500771041,0.9852551020408163,0.9999403705967412,0.9906829057408209,0.8538930546652554,0.9999850926491853,0.9795918367346939,0.9912335460115383,0.9850197522398294,0.6690419045631399,0.9992695398100804,0.9998658338426678,0.9989229439036389,0.9069632235655402,0.9657011506818456,0.9996753510267024,0.9909297052154195,1.0,0.9986827864820143,0.9980285028547576,0.9906829057408209,0.9999403705967412,0.9994633353706712,0.9161461516673872,0.9731640304487204,0.9999850926491853,0.9999068290574082,0.9445297476185507,0.973546673051982,0.9978533414826851,0.997480657712318,0.9921140114190308,0.9326807888970051,0.9990459295478601,0.9891325412560934,0.9485463469536829,0.9993941559457968,0.9978533414826851,0.999761482386965,0.9986546115889745,0.9775193008783742,0.9943314798527154,0.9999850926491853,0.9989229439036389,0.867577071003712,0.9990459295478601,0.9996981261460026,0.9981962105514229,0.9998658338426678,0.9987925045840104,0.8096480374472652,0.9994633353706712,0.9985828699631788,0.7595593387099179,0.9784737854235924,0.9532505478451424,0.9789469984049134,0.9998992263084927,0.9492735979222466,0.9999850926491853,0.9998658338426678,0.986628069050849,0.9981962105514229,0.6645846066695487,0.999993374510749,0.9966458460666955,0.999761482386965,0.9970257505851136,0.8828017206395584,0.9961037982273504,0.9817384952520087,0.9895049600068905,0.9990459295478601,0.9992695398100804,0.9985092649185313,0.9996273162296329,0.9884375232927356,0.9795918367346939,0.9910518626734843,0.9999403705967412,0.9997995789501581
Al3+,0.9475616103738395,0.9765441116792468,0.9912936930311448,1.0,0.9981411361720242,0.8788028237835187,0.9868798749107629,0.9829356383410437,0.8491465254328701,0.9954346238130022,0.9529718632035235,0.6683010920462658,0.9977932979863482,0.9297101845364394,0.9567980832459596,0.9269887606856719,0.9558567461559739,0.7316573330086843,0.9911126308327081,0.9981411361720242,0.9999983436276872,0.9864338966655569,0.9967932632025296,0.9999797094391689,0.7402543194048985,0.9970081775101081,0.9961037982273504,0.9992343418984345,0.9347352040402233,0.9581779076373671,0.9616933994805617,0.9079810809154438,0.952004043825955,0.8953348429096498,0.9903697478504428,0.9969016520657448,0.9979709439168899,0.9990852683902877,0.9538883795544028,0.9897930197157996,0.9999896476730453,0.9165184213446762,0.9905582637242869,0.9442262173922406,0.9650545816086357,0.953472899264405,0.5529778261438492,0.9855195791489227,0.9933210927419421,0.9963410735611508,0.8413356820692728,0.922433807221452,0.9876066082629789,0.9644505233308323,0.9912936930311448,0.9832035731263531,0.9976081983803992,0.9999896476730453,0.9926751075399725,0.9950801601380752,0.8534006979952926,0.9338870062020326,0.9905582637242869,0.989399217198445,0.8918716013310608,0.9344883786848073,0.9977932979863482,0.9981411361720242,0.9999797094391689,0.8755554064820473,0.9961037982273504,0.9998803271004043,0.8975093750672901,0.9860945215071663,0.9977932979863482,0.988173087593937,0.9967932632025296,0.9408327246165084,0.9715749947410179,0.9919993076363732,0.9963410735611508,0.7909615696777859,0.9961037982273504,0.9942341679793417,0.9974156450990428,0.9933210927419421,0.9965708952195439,0.7195227494455293,0.9864338966655569,0.9828514739229025,0.6593467433235773,0.9971473127843784,0.9041950113378684,0.943163476327955,0.9930662764253498,0.8985368435175385,0.9905582637242869,0.9933210927419421,0.9563421294985002,0.9815641620660925,0.5478000062942148,0.9908067195711984,0.9771317097571923,0.9939372632422826,0.9984968162453683,0.8102091335682069,0.9757490529691302,0.9478139198216418,0.9616808038043559,0.9845754469306592,0.9956068865335275,0.9970081775101081,0.9945236190409935,0.9596646798480776,0.9442262173922406,0.9646927677815709,0.9897930197157996,0.9884513581424779
As3+,0.9654487158229969,0.9878915043007707,0.997480657712318,0.9981411361720242,1.0,0.9069632235655402,0.9948979591836735,0.9698126146002594,0.8807789182070168,0.987749470374953,0.9698126146002594,0.716104411085106,0.9999850926491853,0.950712571368942,0.9728619960280191,0.948429506450742,0.9721148685917026,0.7744666895246046,0.9973828282225966,1.0,0.9980285028547576,0.9946184463558981,0.99981738495252,0.9985092649185313,0.7823423257786191,0.9998658338426678,0.9996273162296329,0.999761482386965,0.9549052637855726,0.9739532803625468,0.9767113545564318,0.9322794830130737,0.9690362304527362,0.9213728086194303,0.9969728760751927,0.9998425411070199,0.9999962731622963,0.9998343627687257,0.9705460189919649,0.9966458460666955,0.9978533414826851,0.889745233374577,0.9970781592403214,0.9627316229632832,0.9793151190351963,0.9702137714106825,0.6087714852193615,0.9940370596741254,0.9985092649185313,0.9996981261460026,0.8738241827044916,0.944590354281474,0.995347250173505,0.9788497819385851,0.997480657712318,0.9925200876552228,0.999966458460667,0.9978533414826851,0.9981962105514229,0.9992695398100804,0.884557475291066,0.9541997505908939,0.9970781592403214,0.9964185089667715,0.9183673469387754,0.9547000547845143,0.9999850926491853,1.0,0.9985092649185313,0.9041153232659024,0.9996273162296329,0.9970781592403214,0.9232560262965669,0.9944039202605804,0.9999850926491853,0.9956917756145556,0.99981738495252,0.9599485033847968,0.9842541107019871,0.9978533414826851,0.9996981261460026,0.8285272655446401,0.9996273162296329,0.9989229439036389,0.9999403705967412,0.9985092649185313,0.999761482386965,0.7633308984660335,0.9946184463558981,0.9922845142439737,0.7078159240321402,0.9906829057408209,0.9290261027712765,0.9618619817832172,0.9983876209358835,0.924144773565623,0.9970781592403214,0.9985092649185313,0.9725003726837703,0.9914133659307405,0.6039265962045886,0.9972156381422791,0.9883126369612856,0.9987925045840104,0.9999811328841252,0.8459159656070853,0.9873183994805617,0.9656534637229618,0.9767015333038499,0.9934258582907232,0.9994633353706712,0.9998658338426678,0.9990459295478601,0.9751237682801389,0.9627316229632832,0.9790365379168467,0.9966458460666955,0.9958590692181426
Au1+,0.985805768171224,0.9619825285848451,0.9350635798512246,0.8788028237835187,0.9069632235655402,1.0,0.9454353691805429,0.7707845738733768,0.9983787495409905,0.8271923329838388,0.9827671024582222,0.9481075118140755,0.909303677643446,0.993109077085911,0.9803206405523008,0.9939272380488596,0.9809474739494044,0.9711393688227665,0.9355545907186833,0.9069632235655402,0.877905069990012,0.9463335370671278,0.915024373518582,0.8819188741968664,0.9739117219812201,0.9138951416943695,0.9183673469387754,0.8973032602376232,0.9914133659307405,0.979370611648604,0.9767702385921497,0.9979940668743758,0.9833450511322133,0.9993941559457968,0.9375,0.9144606893159016,0.9081371774421967,0.8989463815718641,0.9822050580641314,0.9389394910630432,0.8765522279035792,0.5941473740701539,0.9370164428079486,0.9874629179648484,0.9740155558205751,0.9824616508400292,0.8973032602376232,0.9481075118140755,0.9290261027712765,0.917260476140785,0.997480657712318,0.9951521129513408,0.943921858979774,0.9745316193192641,0.9350635798512246,0.9522434072241022,0.9104627241692879,0.8765522279035792,0.9310684098328885,0.9227202933766641,0.9987925045840104,0.9917172933483704,0.9370164428079486,0.9398898346774794,0.9996273162296329,0.991502577108272,0.909303677643446,0.9069632235655402,0.8819188741968664,0.9999785334148269,0.9183673469387754,0.8710663228037745,0.999216432372803,0.9470022715075803,0.909303677643446,0.9426961434683442,0.915024373518582,0.988997961005683,0.9677665807009436,0.9330809021928712,0.917260476140785,0.9881030023404541,0.9183673469387754,0.9259067396133033,0.9116143170197224,0.9290261027712765,0.9161461516673872,0.967069662050357,0.9463335370671278,0.9528322103129052,0.9445297476185507,0.8387620935883484,0.9985092649185313,0.9879593864134405,0.9298466033601168,0.9991237790465589,0.9370164428079486,0.9290261027712765,0.9806263696128561,0.9549052637855726,0.8948137326515705,0.9363688012336661,0.9612259805309998,0.926953981008035,0.9042945748423548,0.9923409344258766,0.9629796647171165,0.985674035867086,0.9767800453514739,0.9498516718593939,0.9205587275085344,0.9138951416943695,0.9248520445431642,0.9783035062089116,0.9874629179648484,0.9743258150594057,0.9389394910630432,0.9420783165956911
Au3+,0.9869009260507172,0.9985092649185313,0.9995490526378558,0.9868798749107629,0.9948979591836735,0.9454353691805429,1.0,0.9398898346774794,0.9250031716149437,0.9668356994611821,0.9895313128903862,0.78711930352857,0.9954346238130022,0.9773259194108614,0.9912936930311448,0.9757690909331836,0.9908683159165784,0.8372080022659174,0.9995891161431701,0.9948979591836735,0.9865833842667819,0.9999962731622963,0.9966458460666955,0.9878915043007707,0.8438885658962878,0.9964185089667715,0.9972831353140234,0.9924531536500648,0.9801396818771336,0.9919069483162147,0.9934101962552735,0.964353393658413,0.9890720826314455,0.9563286828610188,0.9997307359759097,0.9965331092261595,0.9951700183360415,0.9928937486852545,0.9899613526930129,0.99981738495252,0.9861324369046377,0.8372080022659174,0.9996981261460026,0.9852081811541271,0.9947591344792117,0.9897669981067664,0.6930241051862673,0.999966458460667,0.9989229439036389,0.9970781592403214,0.9194667640613586,0.9731158185212239,0.9999896476730453,0.9945236190409935,0.9995490526378558,0.9997732591941086,0.9956917756145556,0.9861324369046377,0.9991614615166738,0.9980285028547576,0.9279937687273595,0.9796705566739449,0.9996981261460026,0.9998658338426678,0.9540816326530612,0.9800034193735931,0.9954346238130022,0.9948979591836735,0.9878915043007707,0.9432493552570772,0.9972831353140234,0.9842541107019871,0.9577292750555298,0.9999885865595325,0.9954346238130022,0.999966458460667,0.9966458460666955,0.9834362768725703,0.9970781592403214,0.9993701644280795,0.9970781592403214,0.8825813195986941,0.9972831353140234,0.9985092649185313,0.9959414737407015,0.9989229439036389,0.9968657294912121,0.8277269271477765,0.9999962731622963,0.9997307359759097,0.779933960435891,0.971791565420909,0.9619825285848451,0.9846584517225444,0.9990219287130484,0.958388200666193,0.9996981261460026,0.9989229439036389,0.9910883484146032,0.9995490526378558,0.6887307881516376,0.9996517477212458,0.9986546115889745,0.9986546115889745,0.9942585735901373,0.8968904094386719,0.9983038747517512,0.9870268779535188,0.9934049714358595,0.9999068290574082,0.9976707264352052,0.9964185089667715,0.9983564645726808,0.9925534428526707,0.9852081811541271,0.9946184463558981,0.99981738495252,0.9999498947375395
B3+,0.8706699089647636,0.9194667640613586,0.9498516718593939,0.9829356383410437,0.9698126146002594,0.7707845738733768,0.9398898346774794,1.0,0.7306086549644977,0.9960230500771041,0.8792504584010375,0.5007677285669563,0.9684560456761229,0.8433796455031977,0.8854303834998816,0.8393300595134572,0.8839006201457938,0.5792549306062819,0.949418426976342,0.9698126146002594,0.9832702255482179,0.9389394910630432,0.9649341840461532,0.9817384952520087,0.5900375002691605,0.9656534637229618,0.9627316229632832,0.9749407432805116,0.8509264918531327,0.8876844411979548,0.8934947954711469,0.8116641075714435,0.8777026188488544,0.7937472514571935,0.9476668132556163,0.9652947555939834,0.9691380569758948,0.9741191826133911,0.88072177665807,0.9463335370671278,0.9837658949628062,0.9749407432805116,0.9481075118140755,0.8654611588974523,0.8991508400292184,0.8800541136834572,0.36123492494148846,0.9370164428079486,0.9549052637855726,0.9634732636663138,0.7202039325591448,0.8326063349615472,0.9414571769784125,0.8981264772770564,0.9498516718593939,0.9322794830130737,0.9677665807009437,0.9837658949628062,0.9532505478451424,0.959690523397087,0.7363038714390066,0.8496459808413162,0.9481075118140755,0.9454353691805429,0.7888970051132214,0.8505535751554091,0.9684560456761229,0.9698126146002594,0.9817384952520087,0.766326679685753,0.9627316229632832,0.985674035867086,0.7968044230109868,0.93822184187773,0.9684560456761229,0.9426961434683442,0.9649341840461532,0.8602183264345427,0.9104627241692879,0.9515660172030829,0.9634732636663138,0.6544466764061359,0.9627316229632832,0.9573314351306629,0.967069662050357,0.9549052637855726,0.9642074506939372,0.5640941548277456,0.9389394910630432,0.931574328051162,0.4897959183673468,0.9940370596741253,0.8062640688123313,0.8638133540048598,0.9542469551735961,0.7982521959355937,0.9481075118140755,0.9549052637855726,0.8846886227098582,0.9290261027712765,0.35504837435339354,0.9486922112404738,0.9205587275085345,0.9565301650243735,0.9713031167543715,0.6793263202529611,0.9179992181922684,0.8710663228037745,0.8934737937054539,0.9350635798512246,0.9612259805309998,0.9656534637229618,0.958125251561545,0.8901295076102026,0.8654611588974523,0.8985368435175385,0.9463335370671278,0.9433106575963719
Ba2+,0.9745902684205419,0.9446595784748806,0.9129212961850264,0.8491465254328701,0.8807789182070168,0.9983787495409905,0.9250031716149437,0.7306086549644977,1.0,0.7920948515858295,0.9705744106500548,0.9648308213433106,0.8834302970304861,0.984802944597287,0.967402457671152,0.9860304898085609,0.968210663836501,0.9831988071685495,0.913490038238876,0.8807789182070168,0.8481451300575089,0.9260568018743103,0.8899283047695308,0.8526253213827084,0.9852974900449489,0.8886436105725366,0.8937376653080695,0.8698752558968459,0.9823299215782078,0.9661829606546335,0.9628752338020224,0.9927660893668301,0.9713311410527449,0.9957907602338203,0.9157463722657561,0.8892868893804596,0.8821083344564551,0.871725660394796,0.9698413576459042,0.9174190568879719,0.8466368255982943,0.5412235405931725,0.9151850838873138,0.9768248498844985,0.9594131972342909,0.9701756816081928,0.9214887636603813,0.9281417013668215,0.9059510448683878,0.8924753321372972,0.9999014289456335,0.9879238529140034,0.9232305574595386,0.960058812710298,0.9129212961850264,0.9330238161662004,0.8847448059291096,0.8466368255982943,0.9083042766755633,0.8987124612370849,0.999969576835072,0.9827671024582221,0.9151850838873138,0.9185248628751899,0.996451442042806,0.9824579983489349,0.8834302970304861,0.8807789182070168,0.8526253213827084,0.9987303926504935,0.8937376653080695,0.8405290710073626,0.9953409775084584,0.9268421330943492,0.8834302970304861,0.9217975587843998,0.8899283047695308,0.9789299216255327,0.951687329573233,0.9106276937811095,0.8924753321372972,0.9952653759436125,0.8937376653080695,0.9023652945920695,0.886051861152326,0.9059510448683878,0.8912055452911177,0.9800618746328305,0.9260568018743103,0.9337214429159508,0.9618749066389126,0.8048046695907384,0.9937787670038871,0.9775016546855173,0.9068959153554536,0.9951187722048962,0.9151850838873138,0.9059510448683878,0.9677962820762837,0.9361831523205725,0.9193101608198921,0.9144338007311769,0.9437475680482535,0.9035679983595829,0.8777604791450725,0.9977673115329723,0.9458639977708608,0.9744141182956091,0.962887631600893,0.9301967861577033,0.8962399706233919,0.8886436105725366,0.9011551371491486,0.9648204767066558,0.9768248498844985,0.9598011876595124,0.9174190568879719,0.9210760903298922
Be2+,0.9120510584540212,0.9512823634445257,0.9741191826133911,0.9954346238130022,0.987749470374953,0.8271923329838388,0.9668356994611821,0.9960230500771041,0.7920948515858295,1.0,0.9191011198733207,0.5859069218142577,0.9868798749107629,0.8893174752248112,0.924144773565623,0.8859090709573335,0.9228990780631707,0.6570895219543869,0.9738076810953259,0.987749470374953,0.9956068865335275,0.966128842576719,0.9845754469306592,0.9948056164272381,0.6668169824540481,0.9850512398774947,0.983103346037709,0.9909297052154195,0.8956468879248802,0.9259767875984093,0.9306792772502233,0.8624229745465267,0.9178332900606067,0.847050554760497,0.9725430408345467,0.984814275113503,0.9873183994805617,0.9904327935215966,0.9203046027273827,0.9715749947410179,0.9958590692181426,0.950997881499812,0.9728619960280191,0.9077466876694675,0.9352274571869167,0.9197586831177564,0.45806148122750434,0.9646927677815709,0.9777118541597306,0.9836015000107664,0.7829423466489104,0.8802323393443084,0.9679972305454931,0.9344060000430656,0.9741191826133911,0.9611245442905675,0.9864338966655569,0.9958590692181426,0.9765441116792468,0.9810361933914058,0.7970943916889863,0.8945750798244692,0.9728619960280191,0.9709203135844062,0.842869896923951,0.8953348429096498,0.9868798749107629,0.987749470374953,0.9948056164272381,0.8233188069481505,0.983103346037709,0.9967932632025296,0.8496816245368369,0.9655938084388856,0.9868798749107629,0.9689115480621272,0.9845754469306592,0.9033966398831264,0.9442262173922406,0.9753465544971337,0.9836015000107664,0.7246114357600846,0.983103346037709,0.9794075653149013,0.9859804647449435,0.9777118541597306,0.9840922003084165,0.6433896665556897,0.966128842576719,0.9605898300396369,0.5759090585345412,0.9997995789501581,0.8578020933233288,0.906381327383644,0.9772483349317326,0.8509264918531328,0.9728619960280191,0.9777118541597306,0.9235409885892512,0.9586503215846846,0.45236190409935584,0.9732843709677687,0.9521308401617282,0.9788497819385851,0.9886921273866255,0.7467721444555422,0.9501394665487329,0.912377904655897,0.9306623335966966,0.9632268782847934,0.9820846770653721,0.9850512398774947,0.9799578950158101,0.927959229223708,0.9077466876694675,0.9347352040402234,0.9715749947410179,0.969363737703506
