0,Ag1+,Ag2+,Ag3+,Al3+,As3+,Au1+,Au3+,B3+,Ba2+,Be2+,Bi3+,Br1-,Br3+,Ca2+,Cd2+,Ce3+,Ce4+,Cl1-,Co2+,Co3+,Co4+,Cr2+,Cr3+,Cr4+,Cs1+,Cu1+,Cu2+,Cu3+,Dy2+,Dy3+,Er3+,Eu2+,Eu3+,F1-,Fe2+,Fe3+,Fe4+,Ga3+,Gd3+,Ge2+,Ge4+,H1+,Hf4+,Hg1+,Hg2+,Ho3+,I1-,In3+,Ir3+,Ir4+,K1+,La3+,Li1+,Lu3+,Mg2+,Mn2+,Mn3+,Mn4+,Mo3+,Mo4+,N3-,Na1+,Nb3+,Nb4+,Nd2+,Nd3+,Ni2+,Ni3+,Ni4+,O2-,Os4+,P3+,Pb2+,Pb4+,Pd1+,Pd2+,Pd4+,Pr3+,Pr4+,Pt2+,Pt4+,Rb1+,Re4+,Rh3+,Rh4+,Ru3+,Ru4+,S2-,Sb3+,Sc3+,Se2-,Si4+,Sm2+,Sm3+,Sn4+,Sr2+,Ta3+,Ta4+,Tb3+,Tb4+,Te2-,Te4+,Ti2+,Ti3+,Ti4+,Tl1+,Tl3+,Tm2+,Tm3+,V2+,V3+,V4+,W4+,Y3+,Yb2+,Yb3+,Zn2+,Zr4+
Ag1+,0.008718069828123304,0.008627660319126866,0.008553841633055425,0.00843468174887888,0.008490336519670117,0.008852465046389738,0.008580277016922834,0.008260259095994333,0.008895636880800886,0.008345511176386407,0.008703848844974629,0.00908033950705694,0.008495271425347636,0.008759840064810747,0.008693229632450472,0.008765648194313134,0.008695889299285296,0.009026297684366831,0.008555048904996098,0.008490336519670117,0.008433005181857666,0.008582667199573294,0.008507572728378172,0.008440542867873666,0.009018263713247395,0.008505116592806021,0.008514928699156061,0.008470515457768772,0.008748764460258709,0.008689272161372176,0.008678850008317055,0.00880308255834722,0.008706457734240728,0.008825500367717119,0.00855987262616161,0.008506344919119281,0.00849280499617682,0.008473827968338562,0.008701350424229566,0.008563484768636486,0.008430488700815595,0.008038479121007415,0.008558667501821843,0.008726428293724348,0.008668379211434993,0.008702486428638703,0.009160857509232642,0.008587440993732117,0.008539312722683897,0.008512478785359393,0.008906099445492187,0.008775095005008737,0.00857628852503663,0.008670300561659744,0.008553841633055425,0.0085988621882881,0.008497735803390964,0.008430488700815595,0.008544164212756845,0.00852470750080129,0.008889792860119039,0.008750667539622708,0.008558667501821843,0.008565890166683564,0.008831352520968967,0.008749319712850274,0.008495271425347636,0.008490336519670117,0.008440542867873666,0.008857492526424123,0.008514928699156061,0.00842040328101028,0.008821765969012683,0.00858445840018245,0.008495271425347636,0.00857309337311705,0.008507572728378172,0.008734646680197645,0.008646361929606357,0.008549007193118166,0.008512478785359393,0.008966622195569212,0.008514928699156061,0.008532019598963724,0.008500198126512924,0.008539312722683897,0.00851002679383099,0.009037327687204652,0.008582667199573294,0.008600523524616953,0.009087333126562023,0.008364385459247736,0.00880997739677694,0.00872903183866293,0.008541254337914308,0.008819984875654607,0.008558667501821843,0.008539312722683897,0.008694521874684053,0.00860644798660673,0.0091640480066666,0.008557059833151375,0.008625312393231593,0.008534452753577282,0.008484774981582186,0.008944770275719804,0.008630787366089071,0.008717425484909782,0.008678888273693971,0.008592206000546254,0.008519822278313804,0.008505116592806021,0.008529584336080264,0.008684925992647297,0.008726428293724348,0.008669532216024234,0.008563484768636486,0.00857149434750241
Ag2+,0.008668068478685793,0.008677428575977348,0.008681635106874227,0.008682716901325788,0.00868303763323156,0.008644062914027093,0.0086804601349063,0.00867333008321975,0.008633329434838577,0.008679423553996481,0.008669872160690446,0.00856543769664321,0.008682997892432334,0.00866200131961829,0.008671135478137571,0.00866106345240384,0.00867082569295137,0.00858958670507748,0.008681589237932975,0.00868303763323156,0.008682685859963958,0.008680336051371916,0.008682849027867739,0.008682815783646497,0.008592837967191238,0.00868288446577166,0.00868272569357431,0.00868308374611894,0.008663724825064565,0.008671588297964189,0.008672734731411584,0.008654437576404295,0.008669550934058268,0.008649967409839851,0.008681398593449758,0.0086828671011819,0.0086830191758725,0.008683088578894667,0.008670175752356775,0.008681248077410409,0.008682636975336602,0.008645580272945812,0.008681447330272919,0.008666947461323418,0.008673820133599996,0.008670038200691482,0.00852078043927109,0.008680079228380948,0.008682129705501739,0.008682769643367868,0.008630476658896557,0.008659487188105693,0.008680660534418494,0.008673625900856878,0.008681635106874227,0.008679415698626236,0.008682973781305897,0.008682636975336602,0.008681976281831977,0.00868252147351739,0.008634878976327797,0.008663434688138903,0.008681447330272919,0.008681144143439125,0.008648735854771154,0.008663640429067452,0.008682997892432334,0.00868303763323156,0.008682815783646497,0.008642895891661066,0.00868272569357431,0.008682413596565543,0.00865073913641421,0.008680241095666268,0.008682997892432334,0.008680815092470187,0.008682849027867739,0.00866580050007971,0.008675890242831065,0.008681811419844601,0.008682769643367868,0.008611868425659742,0.00868272569357431,0.008682338421908894,0.008682946840888963,0.008682129705501739,0.008682810754266242,0.008584986508477324,0.008680336051371916,0.008679313364312168,0.00856200026543048,0.008680392986752434,0.008653103943487638,0.008666588939578782,0.00868206970782064,0.008651103350176735,0.008681447330272919,0.008682129705501739,0.00867098551396849,0.008678936294888834,0.008518757577046784,0.008681511196990135,0.008677607736989557,0.00868227170353657,0.00868306883775123,0.008619017975382396,0.008677185160967762,0.0086681530104663,0.008672730643478071,0.008679810853728796,0.008682629270913445,0.00868288446577166,0.008682402288636227,0.008672074459173722,0.008666947461323418,0.008673703839103625,0.008681248077410409,0.00868089045225579
Ag3+,0.008559030984031893,0.008646406029986864,0.00871278405170073,0.008811732464451607,0.008766701103014859,0.008414477786254483,0.008689490664856112,0.008940913073661728,0.008363625005271028,0.008879914555291515,0.008573254750426602,0.008113673622926624,0.008762610596859989,0.008516134968524132,0.008583754849833234,0.008510033233091413,0.00858113461870382,0.0081931467784107,0.008711731476553733,0.008766701103014859,0.008813058443949492,0.008687358884953282,0.008752342770061507,0.008807083204038153,0.008204458808311336,0.00875440108429797,0.00874615358478078,0.008782968081287817,0.00852767595338557,0.00858764186136447,0.008597811677828693,0.008469859652969472,0.008570659375098776,0.00844506856945154,0.008707515254693533,0.008753372223937232,0.008764657037654038,0.008780267482013757,0.008575734379120311,0.00870434687197416,0.00881504542911319,0.009082780697451748,0.008708570198277367,0.008550582487839272,0.008607932819709114,0.008574607627231522,0.00798234617481909,0.008683088229732747,0.008725368751805537,0.008748219020046421,0.008350931798226267,0.008500034836931524,0.008693038374440774,0.008606082773349039,0.00871278405170073,0.008672800071297877,0.008760561780878851,0.00881504542911319,0.008721183330726601,0.008737868114724174,0.00837065047394311,0.008525701649169711,0.008708570198277367,0.008702231657219409,0.00843850244087767,0.008527100292112321,0.008762610596859989,0.008766701103014859,0.008807083204038153,0.008408677405577639,0.00874615358478078,0.008822969556866319,0.008449237874643497,0.008685758497820125,0.008762610596859989,0.008695871810071813,0.008752342770061507,0.008542210604340727,0.008628907809630704,0.008716988429942197,0.008748219020046421,0.008274406860065022,0.00874615358478078,0.008731629104123315,0.008758510589958333,0.008725368751805537,0.008750282081892427,0.008177414001973375,0.008687358884953282,0.008671295165028913,0.00810292485410661,0.00886587070442019,0.00846229508943258,0.008547937333365025,0.008723695721081406,0.008451220758418485,0.008708570198277367,0.008725368751805537,0.008582482565384663,0.008665911048981628,0.007976764001820085,0.008709975868741594,0.008648582695197166,0.008729544690957238,0.008771291563634792,0.008302671304825754,0.008643500140056055,0.008559679529032317,0.008597774514552849,0.00867880811601718,0.008742015595027824,0.00875440108429797,0.008733711145986419,0.008591894514606789,0.008550582487839272,0.008606822987951214,0.00870434687197416,0.008697286950296318
Al3+,0.008272687895374326,0.008476260293891095,0.008637257136523616,0.008888785047220252,0.008772493232834013,0.00795414369331312,0.008580096394211667,0.009241661485814623,0.007846889219086781,0.009071225547529099,0.008305221680540945,0.007350579756563456,0.008762084474877974,0.008175918471364976,0.008329385252947342,0.008162313341278937,0.008323343595480101,0.007503235473356915,0.008634658180348767,0.008772493232834013,0.008892258054110971,0.008574901692846899,0.008736066763327454,0.008876630220305578,0.007525333829462192,0.008741269821114638,0.008720459069239081,0.008814137505162592,0.008201758968477735,0.008338362362086378,0.008361932519152366,0.008073694928228223,0.008299268346402513,0.008019814092803569,0.0086242630496266,0.008738668261637125,0.008767288735938863,0.008807195787023572,0.008310916642813092,0.008616467435879646,0.008897467728658959,0.009669781916467207,0.008626861727809224,0.008253470582208565,0.008385510153125136,0.008308327966921183,0.007107626032426263,0.00856451317746666,0.008668449934946506,0.00872566138578329,0.00782047726279186,0.00814010369185151,0.008588754881566851,0.008381191352705368,0.008637257136523616,0.008539585635842225,0.008756880451258305,0.008897467728658959,0.008658051252935773,0.008699652322060155,0.00786156851176901,0.008197328433754593,0.008626861727809224,0.00861127071272236,0.008005643341376455,0.008200466697950702,0.008762084474877974,0.008772493232834013,0.008876630220305578,0.007941790985164046,0.008720459069239081,0.008918308366978597,0.008028833687914017,0.008571005860492083,0.008762084474877974,0.008595682253743154,0.008736066763327454,0.008234504987449884,0.00843476161825538,0.008647653649180196,0.00872566138578329,0.007664135639880288,0.008720459069239081,0.008684049951593368,0.008751676666686694,0.008668449934946506,0.008730863951014863,0.007472657378314565,0.008574901692846899,0.008535950954495943,0.0073302710560579545,0.009032983217648841,0.008057190217469264,0.008247469979868798,0.008664290333573627,0.008033129234256845,0.008626861727809224,0.008668449934946506,0.008326450670334466,0.008522971182685721,0.007097539788144036,0.008630326740594345,0.008481449111063605,0.008678849682367856,0.008784204204793016,0.0077213152593348,0.008469342377989042,0.008274166373494705,0.008361846167844486,0.008554125855919555,0.00871005518863775,0.008741269821114638,0.00868925048235447,0.008348203926328766,0.008253470582208565,0.00838291884332633,0.008616467435879646,0.008599146132620797
As3+,0.008421993679432572,0.008572991533132603,0.008690861193583121,0.008872277353751812,0.008788815268706836,0.008181319224052063,0.008649168874600955,0.009121175243750201,0.008099072655964622,0.009001778982879394,0.008446272219077807,0.007710495923315374,0.008781310226618716,0.00834944816405898,0.008464268244962691,0.008339209037701478,0.008459771560898277,0.00783141869335441,0.008688969284266447,0.008788815268706836,0.008874758962503079,0.008645371389831947,0.00876252568016416,0.008863587219890789,0.00784881981727842,0.008766285091673416,0.008751239960423969,0.008818785018751711,0.008368868576868187,0.008470946166147025,0.008488459355190074,0.008272275640729305,0.008441833687042752,0.008231376106692794,0.008681398593449758,0.008764405542056307,0.008785063375891843,0.008813795679540003,0.008450516368633252,0.008675717373873421,0.00887848030197152,0.009414325971730338,0.00868329172384629,0.008407626361109963,0.008505948753030082,0.008448587379908933,0.007515457922222195,0.008637772802478709,0.008713540212633519,0.008755003113197622,0.008078725172283923,0.00832247316067146,0.00865549533128015,0.008502747352306696,0.008690861193583121,0.008619516570195456,0.008777555822223197,0.00887848030197152,0.008705985448835218,0.008736174918746743,0.008110365379184746,0.008365541319793226,0.00868329172384629,0.008671928372203598,0.00822059389344898,0.008367898210694053,0.008781310226618716,0.008788815268706836,0.008863587219890789,0.008171877866562172,0.008751239960423969,0.008893352751148236,0.008238233371681248,0.008642522484482978,0.008781310226618716,0.008660554076829296,0.00876252568016416,0.008393428093170167,0.008542387799504572,0.008698425772201566,0.008755003113197622,0.007957520327610296,0.008751239960423969,0.008724863123067885,0.00877380016404192,0.008713540212633519,0.008758765020225115,0.007807297123175369,0.008645371389831947,0.00861685189505077,0.007694314464758446,0.00897477866894983,0.008259763696233834,0.008403136169334963,0.00871051889734822,0.008241497600409453,0.00868329172384629,0.008713540212633519,0.00846208433498131,0.008607330417094662,0.0075072919274321555,0.00868581542321141,0.008576811703800683,0.00872109005276169,0.008797252426703223,0.008002000332157347,0.008567896136695407,0.008423098216066151,0.008488395247647043,0.008630169400523508,0.008743709923012075,0.008766285091673416,0.008728634958400604,0.008478262250503915,0.008407626361109963,0.008504028008846138,0.008675717373873421,0.008663082641890888
Au1+,0.008595197625129397,0.008353726831047936,0.008164985562346894,0.007874212650821555,0.008008016836427299,0.008979015002495035,0.008231766576152773,0.007475048589351693,0.009109787632600681,0.007666537545104923,0.008556401141743384,0.009723888679040003,0.008020046421287135,0.008711046686053736,0.008527636238859918,0.008727387798846839,0.008534824352420445,0.009533542407551271,0.008168016372534712,0.008008016836427299,0.007870233589347972,0.00823784819963205,0.008050153596924056,0.007888146345413927,0.009506089325969629,0.008044128382017708,0.008068240516389692,0.007959975209002735,0.008680045768335257,0.008516960613052873,0.008488959204650367,0.00883414408403591,0.008563494708590589,0.008899317195581994,0.008180144110621988,0.008047140753989981,0.008014030675900802,0.007967973572715928,0.008549617860642886,0.008189244621505132,0.007864266663081303,0.007005073759946955,0.008177111502561722,0.008618150384526905,0.008460990175547916,0.008552700943163382,0.010029128719913388,0.008250016697093774,0.008128651152887844,0.008062209668164365,0.009142104031761012,0.008754091790120998,0.008221634441329723,0.008466110265906443,0.008164985562346894,0.008279249468004053,0.008026064068596588,0.007864266663081303,0.008140755353790465,0.008092382564925766,0.009091845831313955,0.008685357724080757,0.008177111502561722,0.00819531386234246,0.00891649048297822,0.008681594981827133,0.008020046421287135,0.008008016836427299,0.007888146345413927,0.008994038254167088,0.008068240516389692,0.007840419019922964,0.008888393551873796,0.008242410566981743,0.008020046421287135,0.00821353225891663,0.008050153596924056,0.008640828655327847,0.008402699645070425,0.008152866834823023,0.008062209668164365,0.009334275580722164,0.008068240516389692,0.008110508574964788,0.008032083613829519,0.008128651152887844,0.008056180693656052,0.00957157327550717,0.00823784819963205,0.008283515906422923,0.00974930010673142,0.007709840200351103,0.00885408682945076,0.008625322851653908,0.008133491957487146,0.008883193142709552,0.008177111502561722,0.008128651152887844,0.008531127348037801,0.008298760050450812,0.010041855838404022,0.008173068723173112,0.008347612682671984,0.00811655426559234,0.007994492686703871,0.009263820279517845,0.008361881621172317,0.008593432870728787,0.008489061715101496,0.008262192166092601,0.008080307817704298,0.008044128382017708,0.008104464725219942,0.008505263808740896,0.008618150384526905,0.00846406209779653,0.008189244621505132,0.008209482346383247
Au3+,0.00860461587983095,0.008664502465878894,0.008708855930470204,0.008772924788044286,0.008744088570222047,0.008502205135531793,0.008693410051401899,0.008852287323929184,0.008465286172873876,0.008815472812290979,0.008614474628824734,0.008277966943642636,0.008741441926615265,0.008574638172921843,0.00862172571914082,0.008570344727827596,0.008619918400405708,0.008338513751389368,0.008708160815477409,0.008744088570222047,0.008773765338174453,0.008691989940735194,0.008734779012307365,0.00876997363536421,0.008347060315581164,0.0087361168886827,0.008730749496780975,0.008754569379098725,0.008582739207089764,0.008624404165811603,0.008631396918589612,0.008541900721826194,0.008612678817568945,0.008524199181580849,0.008705373719336107,0.008735448281408561,0.008742766571054888,0.008752834324457198,0.00861618905488872,0.00870327642809255,0.008775023966866404,0.008932491305358808,0.008706071488879943,0.008598740613799862,0.008638334408644062,0.008615410171076,0.008176094370238215,0.008689141745023575,0.008717145566783584,0.008732095316719927,0.008456003527561531,0.008563294004911782,0.008695770996652896,0.008637067938868667,0.008708855930470204,0.00868226268153451,0.008740114636529545,0.008775023966866404,0.008714392966722766,0.008725339727651368,0.008470412539746609,0.008581355209874153,0.008706071488879943,0.008701874914676317,0.008519492232866011,0.008582335744313772,0.008741441926615265,0.008744088570222047,0.00876997363536421,0.008498016331367084,0.008730749496780975,0.008780032131382266,0.008527183957458464,0.00869092311342548,0.008741441926615265,0.008697654438424695,0.008734779012307365,0.008592904488770713,0.00865264123197905,0.008711629755522496,0.008732095316719927,0.008399494191571003,0.008730749496780975,0.008721254576987232,0.008738784700425623,0.008717145566783584,0.008733438488441178,0.008326597036257294,0.008691989940735194,0.008681254364855187,0.008269712227944606,0.008806824505415006,0.008536511242611584,0.008596898164061395,0.008716045799921282,0.0085286023940549,0.008706071488879943,0.008717145566783584,0.008620848332676572,0.008677642591839193,0.008171716601500222,0.008707000815856724,0.008665973130737787,0.008719887558444014,0.00874705339851664,0.008420472943814502,0.00866253743587775,0.00860506629570243,0.008631371404967302,0.008686282914731332,0.008728049910807414,0.0087361168886827,0.008722618944469424,0.008627330938003707,0.008598740613799862,0.008637574749144112,0.00870327642809255,0.008698594388094142
B3+,0.0076604273529471975,0.008006005934579435,0.008286627328112276,0.008738390447846531,0.008527468449892144,0.007139728584496871,0.008186243372496188,0.009400717777130738,0.006969749643430227,0.009076564865632299,0.007714973340944956,0.006216741066046133,0.008508763038007945,0.007499696272156623,0.007755652672093374,0.007477278772534728,0.007745468189184423,0.006442598300533301,0.008282045024946609,0.008527468449892144,0.008744744562813897,0.008177161806546982,0.00846213056832505,0.008716177581755025,0.00647571064207041,0.008471442098918421,0.008434240806802721,0.008602590410667766,0.007542396181063296,0.007770801958285723,0.007810671650607441,0.007332336795311848,0.007704972771595169,0.007245116456603851,0.008263734311160625,0.00846678539911328,0.008518111995641087,0.008590036667738313,0.007724547970160277,0.008250020686590762,0.008754282057587827,0.01025154143887188,0.00826830921570787,0.007628328333618818,0.007850690525871841,0.0077201947908322735,0.005867480911616213,0.008159020746583947,0.008341759463406212,0.008443529926002452,0.00692829557537636,0.007440778245245684,0.008201395678203303,0.00784334988637918,0.008286627328112276,0.008115602115981533,0.00849942157325573,0.008754282057587827,0.00832335242212007,0.008397158922605185,0.006992857815987093,0.007535063618159021,0.00826830921570787,0.008240887506443795,0.007222290269486662,0.007540256978780617,0.008508763038007945,0.008527468449892144,0.008716177581755025,0.007120016820913455,0.008434240806802721,0.008792507975242184,0.007259669620687832,0.008170355461339414,0.008508763038007945,0.00821353225891663,0.00846213056832505,0.007596737302608313,0.007934728865869834,0.00830497505363682,0.008443529926002452,0.006686140792305947,0.008434240806802721,0.008369425727138443,0.008490087597647676,0.008341759463406212,0.008452826511931523,0.0063969549068572445,0.008177161806546982,0.008109284358620477,0.006187070239603894,0.00900493199930902,0.007305547163222546,0.007618323724857397,0.008334393084245151,0.007266607198492536,0.00826830921570787,0.008341759463406212,0.007750704702545258,0.008086750253056491,0.005853247195186839,0.008274411964670976,0.008014948324519806,0.008360196207344909,0.008548547900824533,0.006774068771315509,0.007994094084019033,0.0076629005871600995,0.007810525335763487,0.00814090909103903,0.008415684953652294,0.008471442098918421,0.00837866268379116,0.007787432721983474,0.007628328333618818,0.00784628554040542,0.008250020686590762,0.008219605464358593
Ba2+,0.008499336756918406,0.00821026184394663,0.007986181011744168,0.007644121342862868,0.007801053893371034,0.008964469564385893,0.0080652801290937,0.007180684412514227,0.00912456885877873,0.007402128572482849,0.008452709007338442,0.0098878716263109,0.007815202142010095,0.008638991243460441,0.00841818316392007,0.008658741213729233,0.008426807272081243,0.009649207601305582,0.007989766480283976,0.007801053893371034,0.007639466745559587,0.00807249362396838,0.007850640359003284,0.007660426164304758,0.00961494196374169,0.007843545000793973,0.007871949536082815,0.007744615913248856,0.008601558064626478,0.008405379273963566,0.00837182077998932,0.008788079893659607,0.008461229187612196,0.008867307141242288,0.008004117847274835,0.007847092198212984,0.007808126083813878,0.0077540049871710455,0.00844456371394317,0.00801489132990679,0.007632488121410484,0.006643977969327352,0.00800052858232117,0.008526955840918806,0.008338337451952754,0.00844826558101298,0.010274645249775354,0.008086931905108362,0.00794322959086703,0.007864842629292133,0.009164261782815639,0.0086910430790232,0.008053266012005036,0.008344464291970232,0.007986181011744168,0.008121645076402936,0.007822282065391747,0.007632488121410484,0.007957531493330752,0.00790041557863122,0.009102553891596902,0.008607968953244394,0.00800052858232117,0.008022078387844262,0.008888217750101155,0.008603427640463693,0.007815202142010095,0.007801053893371034,0.007660426164304758,0.008982819431177682,0.007871949536082815,0.007604612929383306,0.0088540136457639,0.008077906215939734,0.007815202142010095,0.008043662263221465,0.007850640359003284,0.008554268926706136,0.008268670955467388,0.00797184864115299,0.007864842629292133,0.009401371144663134,0.007871949536082815,0.007921805371158582,0.007829365851379166,0.00794322959086703,0.007857739569382176,0.009696740529380703,0.00807249362396838,0.00812671462931004,0.009919878344165084,0.007452429130854115,0.008812301500794291,0.008535591549925947,0.007948948520971798,0.008847687041945477,0.00800052858232117,0.00794322959086703,0.008422371403387786,0.008144835135559785,0.010290883125353398,0.007995744371322536,0.008202977345097347,0.007928942956158425,0.007785155619569518,0.009314225898069043,0.00821998027251485,0.008497214248420032,0.008371943567916231,0.008101385221287706,0.007886174879645776,0.007843545000793973,0.00791467161140907,0.008391356717828879,0.008526955840918806,0.008342013252199907,0.00801489132990679,0.00803886290621119
Be2+,0.007984074913252303,0.008264817097133854,0.008490183051662792,0.008848296891788043,0.008681804434888564,0.0075540400141982525,0.008409827586329943,0.00936340583632939,0.0074117420162066955,0.00911273378289017,0.008028628302800555,0.006769214261191008,0.008666980041371071,0.007852251864664591,0.00806179587205226,0.00783380181430788,0.008053496785998175,0.0069640869879015336,0.008486521301909397,0.008681804434888564,0.008853293702154656,0.008402543641768121,0.00862998049560432,0.008830820324443156,0.006992497827607799,0.008637373382474575,0.008607822904970447,0.008741242398143823,0.007887350893229264,0.008074134797829636,0.008106574837302809,0.007714125516261669,0.008020466651159752,0.007641783000753129,0.00847188309085268,0.0086336765001099,0.00867439048295775,0.00873132047479735,0.00803643946066576,0.008460913660508858,0.008860791838622373,0.010009005290162631,0.008475541325380755,0.007957813361549946,0.008139087802521254,0.008032888405809603,0.006464023468016684,0.00838798630377038,0.008534192585229384,0.008615205256658934,0.00737689079479811,0.007803727082129316,0.00842197530903411,0.008133127592406702,0.008490183051662792,0.008353106097310584,0.008659573110329914,0.008860791838622373,0.008519508682979883,0.00857832862123149,0.00743114414240356,0.007881327656823936,0.008475541325380755,0.008453605101523097,0.007622809528373317,0.007885593848371933,0.008666980041371071,0.008681804434888564,0.008830820324443156,0.007537587835888949,0.008607822904970447,0.00889081943107031,0.0076538709204447665,0.008397082991362485,0.008666980041371071,0.00843170052036142,0.00862998049560432,0.007931936192221243,0.008207207053546363,0.008504838837990292,0.008615205256658934,0.007172122277657989,0.008607822904970447,0.008556244792852188,0.008652169690034392,0.008534192585229384,0.008622591120267795,0.00692485832280416,0.008402543641768121,0.008348026172358858,0.0067434712150904585,0.009056972892852023,0.007691931862604692,0.007949621641447038,0.008528317337548918,0.007659630870160693,0.008475541325380755,0.008534192585229384,0.008057764288433088,0.008329897656174035,0.0064514835563250095,0.008480420338496202,0.008272034193057684,0.008548890543317735,0.008698498660377064,0.007246711145160756,0.008255199777822414,0.007986097046609584,0.008106455876238428,0.008373443034984251,0.008593068738119282,0.008637373382474575,0.008563602555804833,0.008087672319214647,0.007957813361549946,0.008135511382945724,0.008460913660508858,0.008436565470281501
