0,Ag1+,Ag2+,Ag3+,Al3+,As3+,Au1+,Au3+,B3+,Ba2+,Be2+,Bi3+,Br1-,Br3+,Ca2+,Cd2+,Ce3+,Ce4+,Cl1-,Co2+,Co3+,Co4+,Cr2+,Cr3+,Cr4+,Cs1+,Cu1+,Cu2+,Cu3+,Dy2+,Dy3+,Er3+,Eu2+,Eu3+,F1-,Fe2+,Fe3+,Fe4+,Ga3+,Gd3+,Ge2+,Ge4+,H1+,Hf4+,Hg1+,Hg2+,Ho3+,I1-,In3+,Ir3+,Ir4+,K1+,La3+,Li1+,Lu3+,Mg2+,Mn2+,Mn3+,Mn4+,Mo3+,Mo4+,N3-,Na1+,Nb3+,Nb4+,Nd2+,Nd3+,Ni2+,Ni3+,Ni4+,O2-,Os4+,P3+,Pb2+,Pb4+,Pd1+,Pd2+,Pd4+,Pr3+,Pr4+,Pt2+,Pt4+,Rb1+,Re4+,Rh3+,Rh4+,Ru3+,Ru4+,S2-,Sb3+,Sc3+,Se2-,Si4+,Sm2+,Sm3+,Sn4+,Sr2+,Ta3+,Ta4+,Tb3+,Tb4+,Te2-,Te4+,Ti2+,Ti3+,Ti4+,Tl1+,Tl3+,Tm2+,Tm3+,V2+,V3+,V4+,W4+,Y3+,Yb2+,Yb3+,Zn2+,Zr4+
Ag1+,7.521485038089294e-05,7.47834654423767e-05,7.38427481726154e-05,7.137233293213346e-05,7.266046349662107e-05,7.415477463633482e-05,7.4236030307853e-05,6.60900759646306e-05,7.332773826222674e-05,6.888233426313171e-05,7.520377595107429e-05,6.66851424327724e-05,7.276374794028837e-05,7.51167417553479e-05,7.518123298360604e-05,7.508721407841127e-05,7.518801228838015e-05,6.918706897203449e-05,7.386202451241295e-05,7.266046349662107e-05,7.133015804760171e-05,7.426856540942527e-05,7.3013077426199e-05,7.151827571593137e-05,6.951757925589453e-05,7.296423097036682e-05,7.315654130121434e-05,7.22272521623778e-05,7.5162147025942e-05,7.516975379123932e-05,7.513162376027987e-05,7.480019444136098e-05,7.520745731731489e-05,7.45457918137612e-05,7.393780242103167e-05,7.298871811631691e-05,7.271235836621296e-05,7.230166939866479e-05,7.51995611746699e-05,7.399323910897113e-05,7.126649977857712e-05,5.751819059201335e-05,7.391905727149729e-05,7.521098329758822e-05,7.508192630625535e-05,7.520156103199956e-05,6.199774467797323e-05,7.433201623712276e-05,7.360112565793793e-05,7.310923364587341e-05,7.308880153289242e-05,7.503068586568681e-05,7.418060809107636e-05,7.509189271342558e-05,7.38427481726154e-05,7.447545944102855e-05,7.281463109537858e-05,7.126649977857712e-05,7.368377534869899e-05,7.334061146510381e-05,7.34545607620727e-05,7.515535592168378e-05,7.391905727149729e-05,7.402953024736183e-05,7.446891253326977e-05,7.516020874048246e-05,7.276374794028837e-05,7.266046349662107e-05,7.151827571593137e-05,7.407136317317734e-05,7.315654130121434e-05,7.10071414718708e-05,7.459256707278952e-05,7.429261269143455e-05,7.276374794028837e-05,7.41351949425734e-05,7.3013077426199e-05,7.5199580881602e-05,7.4940980448719e-05,7.376431855621763e-05,7.310923364587341e-05,7.13978358816841e-05,7.315654130121434e-05,7.347321745798465e-05,7.28650067185531e-05,7.360112565793793e-05,7.306141200458075e-05,6.871615224303797e-05,7.426856540942527e-05,7.44953324656729e-05,6.632483543077526e-05,6.944924433670268e-05,7.472866011436427e-05,7.52081908012924e-05,7.363443784980864e-05,7.461425268378316e-05,7.391905727149729e-05,7.360112565793793e-05,7.518462098067315e-05,7.456412771234008e-05,6.178672182193443e-05,7.389385693831651e-05,7.476129170861702e-05,7.351637677225096e-05,7.254185844381729e-05,7.207030769785411e-05,7.481217322859793e-05,7.521482749815843e-05,7.513178455127498e-05,7.43933032263857e-05,7.324961051270004e-05,7.296423097036682e-05,7.342953615932163e-05,7.515523925495953e-05,7.521098329758822e-05,7.508795263190158e-05,7.399323910897113e-05,7.411213052230095e-05
Ag2+,7.47834654423767e-05,7.521485038089294e-05,7.494595088668467e-05,7.34711492249552e-05,7.430960333875226e-05,7.240904470934841e-05,7.510280849791463e-05,6.939504407849417e-05,7.11655083961145e-05,7.163838641176635e-05,7.491020755415258e-05,6.290375292198958e-05,7.437166376177877e-05,7.427776208198467e-05,7.499015718862491e-05,7.419133316567132e-05,7.49713026827069e-05,6.583965525918212e-05,7.495454020425595e-05,7.430960333875226e-05,7.344206973823711e-05,7.511372523440718e-05,7.451732104940327e-05,7.357109879378026e-05,6.62381710505752e-05,7.448927721760424e-05,7.459817965029352e-05,7.403980104927127e-05,7.443155682745977e-05,7.501677300829576e-05,7.507868464009558e-05,7.353715124275772e-05,7.488865181866475e-05,7.30631287590706e-05,7.498750997519711e-05,7.450336722946147e-05,7.43409041301383e-05,7.408715425145167e-05,7.49301407364273e-05,7.50107791525158e-05,7.339801618148522e-05,6.186221627649474e-05,7.497947575008963e-05,7.469833233184886e-05,7.512905333047366e-05,7.492116330723863e-05,5.766590841507892e-05,7.513388337858218e-05,7.483207843362685e-05,7.45717728709121e-05,7.082687539219263e-05,7.404219129226976e-05,7.508337379223391e-05,7.512069287005812e-05,7.494595088668467e-05,7.517314008303158e-05,7.440188155112319e-05,7.339801618148522e-05,7.487224894134251e-05,7.469833233184887e-05,7.134825888747661e-05,7.440615410689155e-05,7.497947575008963e-05,7.502559692488473e-05,7.292902784291091e-05,7.442418890520386e-05,7.437166376177877e-05,7.430960333875226e-05,7.357109879378026e-05,7.227678471636736e-05,7.459817965029352e-05,7.32166085155312e-05,7.314644726790469e-05,7.51215463720928e-05,7.437166376177877e-05,7.50667105946525e-05,7.451732104940327e-05,7.460686041107566e-05,7.519691245365615e-05,7.491020755415258e-05,7.45717728709121e-05,6.857306520550671e-05,7.459817965029352e-05,7.47676832568701e-05,7.443155682745977e-05,7.483207843362685e-05,7.454481980422412e-05,6.527673448824848e-05,7.511372523440718e-05,7.517778804947685e-05,6.249063951480473e-05,7.20730454631377e-05,7.33980161814852e-05,7.467019099154192e-05,7.484841183927744e-05,7.318556896229396e-05,7.497947575008963e-05,7.483207843362685e-05,7.498109370393854e-05,7.519214841086862e-05,5.7435982908271865e-05,7.496854748093165e-05,7.5214570067875e-05,7.478969961239798e-05,7.423720155848065e-05,6.94456378857821e-05,7.521435204736107e-05,7.478969961239798e-05,7.507847890519015e-05,7.515180627048142e-05,7.46493520104802e-05,7.448927721760424e-05,7.474511625453625e-05,7.504402816648078e-05,7.469833233184886e-05,7.512408360510502e-05,7.50107791525158e-05,7.505800740973964e-05
Ag3+,7.38427481726154e-05,7.494595088668467e-05,7.521485038089294e-05,7.4562849184597e-05,7.502559692488473e-05,7.048587039342438e-05,7.518094008897259e-05,7.153596725773551e-05,6.894230435974291e-05,7.329320274069664e-05,7.407540513468613e-05,5.958604089388896e-05,7.50535629581404e-05,7.3026939584671e-05,7.42344675712381e-05,7.289759673472728e-05,7.419579906708048e-05,6.28009213830473e-05,7.521478030254052e-05,7.502559692488473e-05,7.454481980422412e-05,7.517449606043002e-05,7.511372523440718e-05,7.462403955519802e-05,6.324433766786865e-05,7.510280849791463e-05,7.514312433587323e-05,7.489150495079679e-05,7.32627374653315e-05,7.429056339560752e-05,7.443008595854599e-05,7.196878419962283e-05,7.403441431743174e-05,7.133242277504047e-05,7.521309844167003e-05,7.510833664693461e-05,7.503985829955378e-05,7.491631870370321e-05,7.411395135456547e-05,7.52103654979653e-05,7.451732104940327e-05,6.499054154363682e-05,7.521372913508926e-05,7.369541065730369e-05,7.455836458631414e-05,7.409651070327121e-05,5.4021958051292104e-05,7.515992898838638e-05,7.520475977036738e-05,7.513388337858218e-05,6.853276235582715e-05,7.26788078457469e-05,7.519043592021928e-05,7.453571415469776e-05,7.521485038089294e-05,7.511584158539531e-05,7.50667105946525e-05,7.451732104940327e-05,7.52103654979653e-05,7.517449606043002e-05,6.916499220298971e-05,7.322323000206937e-05,7.521372913508926e-05,7.520784286883937e-05,7.115626951697706e-05,7.325125369060321e-05,7.50535629581404e-05,7.502559692488473e-05,7.462403955519802e-05,7.031811723877128e-05,7.514312433587323e-05,7.440188155112319e-05,7.144265049561671e-05,7.516929571190796e-05,7.50535629581404e-05,7.519691245365615e-05,7.511372523440718e-05,7.35428324427959e-05,7.478969961239798e-05,7.521372913508926e-05,7.513388337858218e-05,6.58859858403681e-05,7.514312433587323e-05,7.519214841086862e-05,7.507930091549992e-05,7.520475977036738e-05,7.512408360510502e-05,6.217771945013552e-05,7.517449606043002e-05,7.510833664693461e-05,5.914003041064718e-05,7.361306145069366e-05,7.177952281205746e-05,7.364790435037292e-05,7.520727108466712e-05,7.149462612976074e-05,7.521372913508926e-05,7.520475977036738e-05,7.421577725056096e-05,7.507930091549992e-05,5.37817019357752e-05,7.521435204736107e-05,7.496299081864125e-05,7.519691245365615e-05,7.49914750078609e-05,6.689675164461208e-05,7.492236830210546e-05,7.385377945933158e-05,7.442959536715948e-05,7.514312433587323e-05,7.515992898838638e-05,7.510280849791463e-05,7.518682424963191e-05,7.435018887268844e-05,7.369541065730369e-05,7.454481980422412e-05,7.52103654979653e-05,7.51997772521525e-05
Al3+,7.137233293213346e-05,7.34711492249552e-05,7.4562849184597e-05,7.521485038089294e-05,7.507516608345899e-05,6.66297726013851e-05,7.42344675712381e-05,7.394224594396528e-05,6.468279298492238e-05,7.487224894134251e-05,7.175952174859106e-05,5.398195272863313e-05,7.50490566150975e-05,7.010953988685295e-05,7.203461541778318e-05,6.991900149829237e-05,7.196683846801074e-05,5.751271322545308e-05,7.454934989334448e-05,7.507516608345899e-05,7.521472579720043e-05,7.420136799505094e-05,7.497404246262214e-05,7.5213324244879e-05,5.800928067209105e-05,7.499015718862491e-05,7.492236830210546e-05,7.515728356240355e-05,7.046272833842331e-05,7.213407914261821e-05,7.238811217335808e-05,6.860255444487005e-05,7.169010508972991e-05,6.774045287381778e-05,7.44939890158427e-05,7.49821692542742e-05,7.506238995886824e-05,7.514608043754542e-05,7.182532067189351e-05,7.445103862305591e-05,7.521407173620034e-05,6.919074502551686e-05,7.450803363905377e-05,7.11346747158904e-05,7.263183116478717e-05,7.179548486535556e-05,4.810213275130298e-05,7.413355539038513e-05,7.471417122677015e-05,7.494014764126934e-05,6.417953381847778e-05,6.960124792595563e-05,7.428843584260225e-05,7.258797055445611e-05,7.4562849184597e-05,7.39620602981164e-05,7.503516634987218e-05,7.521407173620034e-05,7.466592256341933e-05,7.484571415192003e-05,6.495855089307466e-05,7.040298734424637e-05,7.450803363905377e-05,7.442172538881803e-05,6.750625709323461e-05,7.044533849667281e-05,7.50490566150975e-05,7.507516608345899e-05,7.5213324244879e-05,6.641374887448417e-05,7.492236830210546e-05,7.520584974023233e-05,6.78879169415356e-05,7.417619016664123e-05,7.50490566150975e-05,7.433053062782349e-05,7.497404246262214e-05,7.089368883432396e-05,7.310696807160602e-05,7.461548038647774e-05,7.494014764126934e-05,6.102662593072503e-05,7.492236830210546e-05,7.478242204072246e-05,7.502071947331576e-05,7.471417122677015e-05,7.495737248952628e-05,5.6819037644871953e-05,7.420136799505094e-05,7.393602289974249e-05,5.350073720032682e-05,7.500059169059975e-05,6.834331146619239e-05,7.105911713216006e-05,7.469513526230106e-05,6.795770548096775e-05,7.450803363905377e-05,7.471417122677015e-05,7.200177845157442e-05,7.38409054168855e-05,4.785371226680015e-05,7.452654789554566e-05,7.35143334172559e-05,7.476022208116946e-05,7.510187357341732e-05,6.221261691682902e-05,7.341275856289966e-05,7.139034311801842e-05,7.238720040187821e-05,7.406359654268438e-05,7.488514774959699e-05,7.499015718862491e-05,7.480407102518465e-05,7.2241405852347e-05,7.11346747158904e-05,7.260555671750252e-05,7.445103862305591e-05,7.435121750349526e-05
As3+,7.266046349662107e-05,7.430960333875226e-05,7.502559692488473e-05,7.507516608345899e-05,7.521485038089294e-05,6.853276235582715e-05,7.483207843362685e-05,7.297823927078574e-05,6.676156950213361e-05,7.429904960357608e-05,7.297823927078574e-05,5.662514253723624e-05,7.521372913508926e-05,7.159757905383996e-05,7.320111740576452e-05,7.143430358803929e-05,7.314644726790469e-05,6.00282556849885e-05,7.501825756803016e-05,7.521485038089294e-05,7.50667105946525e-05,7.481116483072187e-05,7.520111627148512e-05,7.510280849791463e-05,6.050288293425958e-05,7.520475977036738e-05,7.518682424963191e-05,7.519691245365615e-05,7.189839585608776e-05,7.32810442419794e-05,7.348343777889959e-05,7.028990382605929e-05,7.292160211164296e-05,6.952744026104576e-05,7.498750997519711e-05,7.520300806617965e-05,7.5214570067875e-05,7.520239303305393e-05,7.30317814636056e-05,7.496299081864125e-05,7.50535629581404e-05,6.736286645594528e-05,7.499540531320822e-05,7.246330623865416e-05,7.367502065407058e-05,7.300752086134397e-05,5.0862208142675535e-05,7.47676832568701e-05,7.510280849791463e-05,7.519214841086862e-05,6.629887128137837e-05,7.116058219170564e-05,7.486570736623995e-05,7.364074490937291e-05,7.502559692488473e-05,7.4654348757817e-05,7.521232760133965e-05,7.50535629581404e-05,7.507930091549992e-05,7.515992898838638e-05,6.701430909830665e-05,7.184768847860031e-05,7.499540531320822e-05,7.494595088668467e-05,6.931879190296618e-05,7.188364317184001e-05,7.521372913508926e-05,7.521485038089294e-05,7.510280849791463e-05,6.833786553646058e-05,7.518682424963191e-05,7.499540531320822e-05,6.965849893286178e-05,7.479511760498043e-05,7.521372913508926e-05,7.489150495079679e-05,7.520111627148512e-05,7.2261912573661e-05,7.403980104927125e-05,7.50535629581404e-05,7.519214841086862e-05,6.336273771595192e-05,7.518682424963191e-05,7.513388337858218e-05,7.52103654979653e-05,7.510280849791463e-05,7.519691245365615e-05,5.9363501722121654e-05,7.481116483072187e-05,7.463676424951816e-05,5.6157745459564396e-05,7.451732104940327e-05,7.006159562981808e-05,7.240031655668578e-05,7.509367324881623e-05,6.97204352523455e-05,7.499540531320822e-05,7.510280849791463e-05,7.317465095861648e-05,7.45717728709121e-05,5.0616382369326886e-05,7.500571630793842e-05,7.43409041301383e-05,7.512408360510502e-05,7.521343130698225e-05,6.447416852083461e-05,7.426702834802252e-05,7.267534209706161e-05,7.348271608304056e-05,7.472199910795942e-05,7.517449606043002e-05,7.520475977036738e-05,7.514312433587323e-05,7.336686903749763e-05,7.246330623865416e-05,7.365449904302175e-05,7.496299081864125e-05,7.490403486859639e-05
Au1+,7.415477463633482e-05,7.240904470934841e-05,7.048587039342438e-05,6.66297726013851e-05,6.853276235582715e-05,7.521485038089294e-05,7.1220739357155e-05,5.98076311370339e-05,7.509300706614186e-05,6.327820916674252e-05,7.392978507234882e-05,7.141130582818631e-05,6.869334798729736e-05,7.469833233184886e-05,7.374913973052949e-05,7.475947259923962e-05,7.379538264610803e-05,7.307512771725459e-05,7.052048821995885e-05,6.853276235582715e-05,6.656998231276667e-05,7.128473627378988e-05,6.908744792794248e-05,6.683771814798555e-05,7.327799886367973e-05,6.900947621544376e-05,6.931879190296618e-05,6.787392567705185e-05,7.45717728709121e-05,7.367910918695017e-05,7.348776490767258e-05,7.506412564338705e-05,7.397252504316487e-05,7.516929571190796e-05,7.065781296537197e-05,6.904851539879869e-05,6.861326390117798e-05,6.798554244720627e-05,7.388824492588931e-05,7.075959749705572e-05,6.647998452912158e-05,5.012380595513011e-05,7.062365413127849e-05,7.427776208198467e-05,7.32856079946778e-05,7.39072065483647e-05,6.787392567705185e-05,7.141130582818631e-05,7.006159562981808e-05,6.924210740420223e-05,7.502559692488473e-05,7.485109970536467e-05,7.111302757363459e-05,7.33234377823898e-05,7.048587039342438e-05,7.170726713079801e-05,6.877301293240099e-05,6.647998452912158e-05,7.020482913493434e-05,6.962119057638213e-05,7.512408360510502e-05,7.459444072178503e-05,7.062365413127849e-05,7.082687539219263e-05,7.518682424963191e-05,7.457842580333407e-05,6.869334798729736e-05,6.853276235582715e-05,6.683771814798555e-05,7.521323579223087e-05,6.931879190296618e-05,6.611628017887769e-05,7.51559375431605e-05,7.133242277504047e-05,6.869334798729736e-05,7.102591663019627e-05,6.908744792794248e-05,7.439186920102044e-05,7.282907596794869e-05,7.034625808180608e-05,6.924210740420223e-05,7.432532133629231e-05,6.931879190296618e-05,6.984338858007478e-05,6.885225706212583e-05,7.006159562981808e-05,6.916499220298971e-05,7.277833770887478e-05,7.128473627378988e-05,7.174950102367737e-05,7.115626951697706e-05,6.401457446932058e-05,7.510280849791463e-05,7.431464780283107e-05,7.011910480021516e-05,7.514897441814347e-05,7.062365413127849e-05,7.006159562981808e-05,7.37716904327629e-05,7.189839585608776e-05,6.770516182500071e-05,7.057793012471733e-05,7.235428450446787e-05,6.9916569780247e-05,6.835011630454132e-05,7.464097538812925e-05,7.248128239354849e-05,7.414500670039962e-05,7.348848558803007e-05,7.153596725773551e-05,6.947086231788237e-05,6.900947621544376e-05,6.976976393505752e-05,7.360052774354476e-05,7.427776208198467e-05,7.330834905926173e-05,7.075959749705572e-05,7.098204846310897e-05
Au3+,7.4236030307853e-05,7.510280849791463e-05,7.518094008897259e-05,7.42344675712381e-05,7.483207843362685e-05,7.1220739357155e-05,7.521485038089294e-05,7.082687539219263e-05,6.97803088319694e-05,7.27613122922815e-05,7.443155682745977e-05,6.079259528364343e-05,7.487224894134251e-05,7.352861199696271e-05,7.4562849184597e-05,7.341422961985525e-05,7.453113859991367e-05,6.391516723859339e-05,7.518395216130208e-05,7.483207843362685e-05,7.421246100867347e-05,7.5214570067875e-05,7.496299081864125e-05,7.430960333875226e-05,6.434358602640557e-05,7.494595088668467e-05,7.50107791525158e-05,7.46493520104802e-05,7.373579539133251e-05,7.460858926967028e-05,7.472082881852509e-05,7.258092045104725e-05,7.439738345166922e-05,7.200081027627093e-05,7.519460045401878e-05,7.495454020425595e-05,7.485243995509897e-05,7.468224939103524e-05,7.446357224292513e-05,7.520111627148512e-05,7.417900263969198e-05,6.391516723859339e-05,7.519214841086862e-05,7.41104739438341e-05,7.482169061351374e-05,7.444910131244282e-05,5.5333183680476604e-05,7.521232760133965e-05,7.513388337858218e-05,7.499540531320822e-05,6.939504407849417e-05,7.321969985411175e-05,7.521407173620034e-05,7.480407102518465e-05,7.518094008897259e-05,7.519779803840658e-05,7.489150495079679e-05,7.417900263969198e-05,7.515180627048142e-05,7.50667105946525e-05,6.998930597943184e-05,7.370121218389863e-05,7.519214841086862e-05,7.520475977036738e-05,7.183920247898341e-05,7.372574865176443e-05,7.487224894134251e-05,7.483207843362685e-05,7.430960333875226e-05,7.106521987508848e-05,7.50107791525158e-05,7.403980104927125e-05,7.210172470262464e-05,7.521399192557481e-05,7.487224894134251e-05,7.521232760133965e-05,7.496299081864125e-05,7.397927354934206e-05,7.499540531320822e-05,7.516749230805137e-05,7.499540531320822e-05,6.688200915560881e-05,7.50107791525158e-05,7.510280849791463e-05,7.491020755415258e-05,7.513388337858218e-05,7.497947575008963e-05,6.33120463718478e-05,7.5214570067875e-05,7.519460045401878e-05,6.035734521221443e-05,7.312280261197277e-05,7.240904470934841e-05,7.406974443125024e-05,7.514132085980137e-05,7.214925003171288e-05,7.519214841086862e-05,7.513388337858218e-05,7.454753967683924e-05,7.518094008897259e-05,5.5096130017790577e-05,7.518866119833758e-05,7.511372523440718e-05,7.511372523440718e-05,7.478424717368077e-05,6.784590965622433e-05,7.508738470355366e-05,7.424538106598724e-05,7.472043841670794e-05,7.520784286883937e-05,7.503985829955378e-05,7.494595088668467e-05,7.50913336395053e-05,7.465683890988969e-05,7.41104739438341e-05,7.481116483072187e-05,7.520111627148512e-05,7.521108181548694e-05
B3+,6.60900759646306e-05,6.939504407849417e-05,7.153596725773551e-05,7.394224594396528e-05,7.297823927078574e-05,5.98076311370339e-05,7.082687539219263e-05,7.521485038089294e-05,5.7452432518883025e-05,7.491631870370321e-05,6.665960507068374e-05,4.565515013340262e-05,7.287930637906804e-05,6.431084859439217e-05,6.707283197766151e-05,6.405094289336463e-05,6.697030485835645e-05,4.9382870869650186e-05,7.150498137868835e-05,7.297823927078574e-05,7.396699021285494e-05,7.075959749705572e-05,7.262308699575518e-05,7.385377945933158e-05,4.991822618106442e-05,7.267534209706161e-05,7.246330623865416e-05,7.335344229507163e-05,6.479802871184158e-05,6.722418853002928e-05,6.761592183367117e-05,6.230320053954434e-05,6.655650650802265e-05,6.119686369467017e-05,7.137984190221278e-05,7.264927753613953e-05,7.292902784291091e-05,7.329320274069664e-05,6.675775475163354e-05,7.128473627378988e-05,7.400366247550126e-05,7.335344229507163e-05,7.141130582818631e-05,6.574672426987424e-05,6.799944408744296e-05,6.671319794663728e-05,3.970922843136054e-05,7.062365413127849e-05,7.189839585608776e-05,7.251706790949439e-05,5.685775499915438e-05,6.36217265792109e-05,7.093797239080739e-05,6.792982365412924e-05,7.153596725773551e-05,7.028990382605929e-05,7.28290759679487e-05,7.400366247550126e-05,7.177952281205746e-05,7.224327285078448e-05,5.778057007934387e-05,6.471510722480128e-05,7.141130582818631e-05,7.1220739357155e-05,6.090076249263762e-05,6.477386895002463e-05,7.287930637906804e-05,7.297823927078574e-05,7.385377945933158e-05,5.954160843688858e-05,7.246330623865416e-05,7.414500670039962e-05,6.138423927925343e-05,7.070883514651725e-05,7.287930637906804e-05,7.102591663019627e-05,7.262308699575518e-05,6.540292723218088e-05,6.877301293240099e-05,7.16587097915943e-05,7.251706790949439e-05,5.323922125399517e-05,7.246330623865416e-05,7.207304546313769e-05,7.277833770887478e-05,7.189839585608776e-05,7.257032854927781e-05,4.8639834969557965e-05,7.075959749705572e-05,7.024035602309671e-05,4.515696846645966e-05,7.476768325687009e-05,6.19676676026026e-05,6.563847570670001e-05,7.185108009880243e-05,6.1473174082045e-05,7.141130582818631e-05,7.189839585608776e-05,6.70230984283034e-05,7.006159562981808e-05,3.94643236199695e-05,7.14530721869355e-05,6.947086231788238e-05,7.201531861682553e-05,7.30870945980193e-05,5.458040907326109e-05,6.92932783594161e-05,6.611628017887769e-05,6.761450179483541e-05,7.048587039342438e-05,7.235428450446787e-05,7.267534209706161e-05,7.21302809450775e-05,6.738875724422502e-05,6.574672426987424e-05,6.795770548096775e-05,7.128473627378988e-05,7.106957647284278e-05
Ba2+,7.332773826222674e-05,7.11655083961145e-05,6.894230435974291e-05,6.468279298492238e-05,6.676156950213361e-05,7.509300706614186e-05,6.97803088319694e-05,5.7452432518883025e-05,7.521485038089294e-05,6.109582550570821e-05,7.303385498640984e-05,7.261558086512817e-05,6.693881458182532e-05,7.408044775481294e-05,7.280256205160704e-05,7.417144069124888e-05,7.286142531473233e-05,7.396170779889795e-05,6.898152589993402e-05,6.676156950213361e-05,6.461805235605512e-05,6.985387022331136e-05,6.737519979878216e-05,6.490820307370807e-05,7.411709296362456e-05,6.728869884611234e-05,6.763234569592994e-05,6.603757814454586e-05,7.389747144781567e-05,7.271383365739242e-05,7.247371350212096e-05,7.467271611449831e-05,7.308914284126572e-05,7.48989184248044e-05,6.913734699015449e-05,6.733199816536686e-05,6.685038243906822e-05,6.615988750217212e-05,7.298033691779441e-05,6.925308874002239e-05,6.452066212506399e-05,4.754003653877948e-05,6.909855188941069e-05,7.349177827907272e-05,7.2223240678988e-05,7.300474007225427e-05,6.95355027856646e-05,6.999966044806254e-05,6.846343004797538e-05,6.754702500543947e-05,7.520743673917812e-05,7.431200719025057e-05,6.965672483449704e-05,7.22698841761594e-05,6.894230435974291e-05,7.034224240806156e-05,6.702686410752031e-05,6.452066212506399e-05,6.862473008294307e-05,6.79696411062529e-05,7.521256214190267e-05,7.392978507234881e-05,6.909855188941069e-05,6.93297115773727e-05,7.494841912802686e-05,7.390693660344395e-05,6.693881458182532e-05,6.676156950213361e-05,6.490820307370807e-05,7.511941764792592e-05,6.763234569592994e-05,6.412778676922838e-05,7.4865237760207e-05,6.990875019509529e-05,6.693881458182532e-05,6.955697832547133e-05,6.737519979878216e-05,7.364664669209688e-05,7.16674034068319e-05,6.878435932552755e-05,6.754702500543947e-05,7.485957804502413e-05,6.763234569592994e-05,6.821837689703133e-05,6.711452919942546e-05,6.846343004797538e-05,6.746130911356208e-05,7.373005843547787e-05,6.985387022331136e-05,7.039133215917367e-05,7.24012523263769e-05,6.187729799544606e-05,7.47483738061663e-05,7.354153470324147e-05,6.852814969349744e-05,7.484860415543029e-05,6.909855188941069e-05,6.846343004797538e-05,7.283123912379388e-05,7.056482862487851e-05,6.938417744054735e-05,6.904665880690295e-05,7.11006342978647e-05,6.830047275454166e-05,6.656035759861599e-05,7.50471063816268e-05,7.125127314562694e-05,7.331482270954232e-05,7.247461202221417e-05,7.014366360428275e-05,6.780179439182142e-05,6.728869884611234e-05,6.813587185260112e-05,7.261482968721399e-05,7.349177827907272e-05,7.22512680416725e-05,6.925308874002239e-05,6.950681325825137e-05
Be2+,6.888233426313171e-05,7.163838641176635e-05,7.329320274069664e-05,7.487224894134251e-05,7.429904960357608e-05,6.327820916674252e-05,7.27613122922815e-05,7.491631870370321e-05,6.109582550570821e-05,7.521485038089294e-05,6.936967482229144e-05,4.9712460290131085e-05,7.42344675712381e-05,6.733405760287728e-05,6.97204352523455e-05,6.710494658688208e-05,6.963363889186448e-05,5.338011038498006e-05,7.327037535234669e-05,7.429904960357608e-05,7.488514774959699e-05,7.270989863095609e-05,7.406359654268438e-05,7.482516855227815e-05,5.390189701520213e-05,7.409884386408516e-05,7.3954647667622e-05,7.453571415469776e-05,6.776159424282437e-05,6.984828114007277e-05,7.017751546312199e-05,6.554727673368228e-05,6.928178160904473e-05,6.454736172737095e-05,7.317777325226736e-05,7.408128712928278e-05,7.426702834802252e-05,7.449868568742797e-05,6.945321029320286e-05,7.310696807160602e-05,7.490403486859639e-05,7.16180094828554e-05,7.320111740576452e-05,6.858647635382304e-05,7.049742237659667e-05,6.941530477137754e-05,4.374643707301747e-05,7.260555671750252e-05,7.35569947199557e-05,7.399149764690343e-05,6.053919682018815e-05,6.672508901004366e-05,7.284587592037812e-05,7.043953554439337e-05,7.329320274069664e-05,7.234694553009385e-05,7.420136799505094e-05,7.490403486859639e-05,7.34711492249552e-05,7.380193002171413e-05,6.140204136686641e-05,6.7689005724648e-05,7.320111740576452e-05,7.305912198086847e-05,6.427807458465315e-05,6.774045287381778e-05,7.42344675712381e-05,7.429904960357608e-05,7.482516855227815e-05,6.303357348326824e-05,7.3954647667622e-05,7.497404246262214e-05,6.471741395148868e-05,7.26710067581977e-05,7.42344675712381e-05,7.291251063874969e-05,7.406359654268438e-05,6.828876989231014e-05,7.11346747158904e-05,7.3383215985573e-05,7.399149764690343e-05,5.710890881034699e-05,7.3954647667622e-05,7.36818319504719e-05,7.416773035301543e-05,7.35569947199557e-05,7.402781420636691e-05,5.265379714459208e-05,7.270989863095609e-05,7.230827092815949e-05,4.921791821031819e-05,7.51997772521525e-05,6.524508927726916e-05,6.849289500353246e-05,7.352290753919143e-05,6.479802871184159e-05,7.320111740576452e-05,7.35569947199557e-05,6.967835180694854e-05,7.216816433820907e-05,4.349781008823339e-05,7.323204225379903e-05,7.16991957086829e-05,7.364074490937291e-05,7.436912114517167e-05,5.8388609872619234e-05,7.155655789200448e-05,6.8904851872159e-05,7.017632640968811e-05,7.249920296497172e-05,7.387935072052596e-05,7.409884386408516e-05,7.372239241080093e-05,6.998688862528974e-05,6.858647635382304e-05,7.046272833842332e-05,7.310696807160602e-05,7.29454883763212e-05
